,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area
125,125,5059,Hong Lim Pk,1.286764201,103.8457504,New Bridge Rd,Singapore River
126,126,5069,Outram Pk Stn Exit H,1.2802763,103.8402979,New Bridge Rd,Outram
127,127,5129,Hong Lim Pk,1.286011667,103.8463467,Upp Pickering St,Outram
128,128,5131,Opp Hong Lim Cplx,1.284073056,103.8453381,Upp Cross St,Outram
129,129,5189,Opp Sri Mariamman Tp,1.282091396,103.8452806,Sth Bridge Rd,Outram
130,130,5199,Opp Hong Lim Cplx,1.284514558,103.8466605,Sth Bridge Rd,Outram
131,131,5239,Bef The Pinnacle@Duxton,1.27854113,103.8415105,Neil Rd,Outram
132,132,5241,Opp Blk 333,1.280719882,103.8422749,Kreta Ayer Rd,Outram
133,133,5259,Aft Kreta Ayer Rd,1.279794478,103.8426271,Neil Rd,Outram
134,134,5269,Maxwell Rd FC,1.280977473,103.8446005,Sth Bridge Rd,Downtown Core
135,135,5271,Opp Fairfield Meth Ch,1.279753295,103.8438221,Tg Pagar Rd,Outram
136,136,5319,OCBC Ctr,1.284437,103.849114,Church St,Downtown Core
137,137,5411,Tg Pagar Plaza,1.275191657,103.8430919,Tg Pagar Rd,Outram
138,138,5419,The Amara,1.274706695,103.8431868,Tg Pagar Rd,Outram
139,139,5421,Aft Craig Rd,1.277774706,103.8434635,Tg Pagar Rd,Outram
140,140,5429,Bef Craig Rd,1.277694131,103.8437065,Tg Pagar Rd,Outram
141,141,5431,TOWER 15,1.27408,103.8420461,Hoe Chiang Rd,Downtown Core
142,142,5519,Opp Maritime Hse,1.275534722,103.8411269,Cantonment Rd,Outram
143,143,5521,Maritime Hse,1.276768611,103.8405922,Cantonment Rd,Outram
144,144,5629,Opp Southpoint,1.273211389,103.84187,Cantonment Rd,Downtown Core
145,145,5631,Blk 16,1.273460559,103.8403472,Cantonment Link,Bukit Merah
146,146,5641,Bef Cantonment Rd,1.272723931,103.8414062,Keppel Rd,Bukit Merah
147,147,5649,Opp Customs Port Br HQ,1.272384212,103.8409391,Keppel Rd,Bukit Merah
148,148,5651,Opp Fuji Xerox Twrs,1.273218611,103.8430731,Tg Pagar Rd,Downtown Core
149,149,6011,Opp Outram Pk Stn,1.28166,103.8380139,Outram Rd,Bukit Merah
150,150,6029,Outram Pk Stn,1.281770412,103.8383828,Outram Rd,Bukit Merah
151,151,6031,Opp Blk 13,1.286070556,103.8387917,Chin Swee Rd,Outram
152,152,6039,Blk 8,1.287059979,103.8396256,Chin Swee Rd,Outram
153,153,6049,BEF OUTRAM FLYOVER,1.284748569,103.8351771,Outram Rd,Bukit Merah
154,154,6051,Blk 55,1.28475981,103.8340567,Tiong Bahru Rd,Bukit Merah
155,155,6069,Aft Furama RiverFront,1.286231577,103.8349616,Outram Rd,Outram
156,156,6071,Blk 2B,1.286858595,103.8336003,Zion Rd,Bukit Merah
157,157,6081,Blk 94,1.288370864,103.8334988,Zion Rd,Bukit Merah
158,158,6129,Grand Copthorne Hotel,1.290781621,103.8344092,Kim Seng Rd,Bukit Merah
159,159,6131,The Boys' Brigade HQ,1.291524722,103.8322275,Zion Rd,Bukit Merah
160,160,6141,Holiday Inn Atrium,1.289633009,103.8338124,Havelock Rd,Bukit Merah
161,161,6149,Opp Holiday Inn Atrium,1.289840457,103.8341153,Havelock Rd,Bukit Merah
162,162,6151,Hotel Miramar,1.288709768,103.8373728,Havelock Rd,Singapore River
163,163,6159,Opp Hotel Miramar,1.289093854,103.8368794,Havelock Rd,Singapore River
164,164,6161,Blk 2,1.289017057,103.8399429,Havelock Rd,Outram
165,165,6169,River Pl Condo,1.289370789,103.8399894,Havelock Rd,Singapore River
166,166,6171,Opp State Ct,1.286101944,103.8425356,Upp Cross St,Outram
167,167,6189,Ctrl Sq,1.287791365,103.8432943,Havelock Rd,Outram
168,168,7011,Peace Ctr,1.300996991,103.8498102,Selegie Rd,Rochor
169,169,7021,Selegie Ctr,1.303245216,103.8499578,Selegie Rd,Rochor
170,170,7031,Tekka Ctr,1.305720833,103.8512058,S'goon Rd,Rochor
171,171,7111,Broadway Hotel,1.308793665,103.8531752,S'goon Rd,Rochor
172,172,7211,Aft Farrer Pk Stn Exit G,1.313137477,103.8563561,S'goon Rd,Kallang
173,173,7221,Sri Vadapathira K Tp,1.314966,103.857819,S'goon Rd,Kallang
174,174,7231,Bef Tai Hoe Hotel,1.309658889,103.8573711,Kitchener Rd,Kallang
