,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area,X,Y
55,55,2169,Promenade Stn Exit B,1.293338368,103.8607085,Temasek Ave,Downtown Core,31048.26057,30636.32103
56,56,2171,Opp The Ritz-Carlton,1.2907,103.8609219,Temasek Ave,Downtown Core,31072.01331,30344.58413
57,57,2181,Supreme Ct,1.289474444,103.8509817,Parliament Pl,Downtown Core,29965.75503,30209.05863
58,58,3011,Fullerton Sq,1.285618409,103.8534222,Fullerton Rd,Downtown Core,30237.36529,29782.68018
59,59,3019,OUE Bayfront,1.284245,103.8531081,Collyer Quay,Downtown Core,30202.40975,29630.81542
60,60,3021,Prudential Twr,1.282555246,103.849989,Cecil St,Downtown Core,29855.28096,29443.96868
61,61,3031,Raffles Pl Stn Exit F,1.282074922,103.8508607,Robinson Rd,Downtown Core,29952.29438,29390.85758
62,62,3041,Telok Ayer Stn Exit A,1.281795094,103.8489321,Cross St,Outram,29737.65718,29359.91425
63,63,3059,One Raffles Quay,1.281111,103.851461,Raffles Quay,Downtown Core,30019.10361,29284.27252
64,64,3071,OPP SO SOFITEL S'PORE,1.279906096,103.8494003,Robinson Rd,Downtown Core,29789.76532,29151.03893
65,65,3111,Aft Capital Twr,1.277825954,103.8481012,Robinson Rd,Downtown Core,29645.18732,28921.02671
66,66,3129,UIC Bldg,1.278070035,103.8495672,Shenton Way,Downtown Core,29808.34122,28948.01691
67,67,3151,Opp GB Bldg,1.278921246,103.8477623,Cecil St,Downtown Core,29607.46979,29042.13823
68,68,3217,Opp AXA Twr,1.275522189,103.8479444,Shenton Way,Downtown Core,29627.73819,28666.28819
69,69,3218,Opp MAS Bldg,1.274078889,103.8468739,Shenton Way,Downtown Core,29508.60084,28506.69489
70,70,3222,Hub Synergy Pt,1.273978369,103.8448956,Anson Rd,Downtown Core,29288.43162,28495.57883
71,71,3223,Tanjong Pagar Stn Exit C,1.275703395,103.8463247,Anson Rd,Downtown Core,29447.47828,28686.32404
72,72,3239,Shenton Way Ter,1.27464227,103.8475672,Shenton Way,Downtown Core,29585.75935,28568.99106
73,73,3241,Mapletree Anson,1.27456,103.84537,Anson Rd,Downtown Core,29341.22832,28559.89282
74,74,3331,Bef Marina Gdns Dr,1.276633072,103.8607681,Marina Blvd,Marina South,31054.91337,28789.13555
75,75,3339,Aft Marina Gdns Dr,1.274985164,103.8595002,Central Blvd,Straits View,30913.80803,28606.91692
76,76,3341,Bef Gdns by the Bay,1.2795978,103.8643377,Marina Gdns Dr,Marina South,31452.17755,29116.9644
77,77,3349,Aft Gdns by the Bay,1.279656006,103.8647781,Marina Gdns Dr,Marina South,31501.19044,29123.40112
78,78,3369,Marina Barrage,1.279607721,103.8698745,Marina Gdns Dr,Marina South,32068.37872,29118.06953
79,79,3371,Gdns by the Bay,1.280664793,103.8662696,Marina Gdns Dr,Marina South,31667.18092,29234.94967
80,80,3381,The Sail,1.281626013,103.8530651,Marina Blvd,Downtown Core,30197.62644,29341.22132
81,81,3391,Marina Bay Financial Ctr,1.280376603,103.8549801,Marina Blvd,Downtown Core,30410.75147,29203.06973
82,82,3411,Opp Marina Sth Pier,1.271592999,103.863009,Marina Coastal Dr,Straits View,31304.31416,28231.83306
83,83,3419,Marina Sth Pier,1.271276985,103.8629769,Marina Coastal Dr,Straits View,31300.74208,28196.88982
84,84,3421,Marina Bay Cruise Ctr,1.266940903,103.8596478,Marina Coastal Dr,Invalid,30930.24381,27717.42427
85,85,3501,Marina Bay Sands Theatre,1.285004677,103.8606111,Bayfront Ave,Downtown Core,31037.43067,29714.82428
86,86,3509,Bayfront Stn Exit B/MBS,1.28315,103.8600439,Bayfront Ave,Downtown Core,30974.30816,29509.74299
87,87,3511,Aft Bayfront Stn Exit E,1.281947795,103.8589706,Bayfront Ave,Downtown Core,30854.86003,29376.80814
88,88,3519,Bayfront Stn Exit A,1.281245,103.858848,Bayfront Ave,Downtown Core,30841.21643,29299.09655
89,89,3529,Downtown Stn,1.279399574,103.8527877,Central Blvd,Downtown Core,30166.75595,29095.03296
90,90,3539,Marina Bay Stn,1.277533055,103.8556161,Central Blvd,Downtown Core,30481.53585,28888.64548
91,91,4019,OPP BENCOOLEN STN EXIT B,1.298072169,103.8497561,Bencoolen St,Museum,29829.35003,31159.74984
