BusStopCode,planning_area,Longitude,Latitude,subzone_name
6149,Bukit Merah,103.8341153,1.289840457,Bukit Ho Swee
6151,Singapore River,103.8373728,1.288709768,Robertson Quay
6159,Singapore River,103.8368794,1.289093854,Robertson Quay
6161,Outram,103.8399429,1.289017057,Pearl's Hill
6169,Singapore River,103.8399894,1.289370789,Robertson Quay
6171,Outram,103.8425356,1.286101944,Pearl's Hill
6189,Outram,103.8432943,1.287791365,Clarke Quay
7011,Rochor,103.8498102,1.300996991,Selegie
7021,Rochor,103.8499578,1.303245216,Selegie
7031,Rochor,103.8512058,1.305720833,Farrer Park
7111,Rochor,103.8531752,1.308793665,Farrer Park
7211,Kallang,103.8563561,1.313137477,Lavender
7221,Kallang,103.857819,1.314966,Lavender
7231,Kallang,103.8573711,1.309658889,Lavender
7241,Kallang,103.8590062,1.315571421,Lavender
7249,Kallang,103.8594669,1.315368056,Bendemeer
7319,Kallang,103.8587067,1.310388333,Lavender
7329,Kallang,103.8598909,1.312844726,Lavender
7331,Kallang,103.8589096,1.308249945,Lavender
7351,Kallang,103.8605453,1.313518333,Lavender
7359,Kallang,103.8607145,1.313682531,Kallang Bahru
7361,Kallang,103.8618948,1.311676361,Lavender
7369,Kallang,103.8623789,1.311408056,Kallang Bahru
7371,Kallang,103.8635014,1.3095075,Lavender
7379,Kallang,103.8633823,1.310173367,Kallang Bahru
7419,Rochor,103.856163,1.306530241,Sungei Road
7517,Rochor,103.8524778,1.301452162,Bencoolen
7518,Rochor,103.8521118,1.300958284,Victoria
7529,Rochor,103.8550156,1.304319063,Sungei Road
7531,Rochor,103.8525732,1.303656444,Bencoolen
7539,Rochor,103.852001,1.304613007,Little India
7551,Downtown Core,103.8546132,1.301719758,Victoria
7561,Rochor,103.8526798,1.299454465,Victoria
7569,Rochor,103.853014,1.299495313,Victoria
7571,Rochor,103.8511401,1.300634446,Bencoolen
7589,Rochor,103.8555,1.303206098,Rochor Canal
8011,Museum,103.8436103,1.29706985,Dhoby Ghaut
8019,Museum,103.8440701,1.296246337,Fort Canning
8031,Museum,103.845257,1.298311538,Dhoby Ghaut
8041,Museum,103.8478064,1.298110142,Bras Basah
8057,Museum,103.8452902,1.299309973,Dhoby Ghaut
8058,Museum,103.8465412,1.298958343,Dhoby Ghaut
8069,Museum,103.8493613,1.298213823,Bras Basah
8079,Museum,103.8491033,1.299214444,Dhoby Ghaut
8111,Orchard,103.8409375,1.299869287,Somerset
8121,Orchard,103.8387762,1.300275693,Somerset
8137,Orchard,103.841005,1.300739684,Somerset
8138,Orchard,103.841847,1.300478573,Somerset
9011,Orchard,103.8343167,1.302113351,Boulevard
9022,River Valley,103.8323978,1.302528348,Paterson
9023,Orchard,103.8325418,1.303237273,Boulevard
9037,Orchard,103.8370125,1.302340042,Somerset
9038,Orchard,103.8385248,1.301542625,Somerset
9047,Orchard,103.8329447,1.304460652,Boulevard
9048,Orchard,103.8341307,1.303866844,Boulevard
9059,Orchard,103.836238,1.300442518,Somerset
9111,River Valley,103.8291453,1.304537526,One Tree Hill
9121,River Valley,103.8269965,1.303973792,One Tree Hill
9131,Tanglin,103.8233381,1.30392,Chatsworth
9139,Orchard,103.8235479,1.304199419,Tanglin
9141,Tanglin,103.8217767,1.305435,Ridout
9149,Tanglin,103.8212215,1.306089814,Nassim
9159,Orchard,103.8256804,1.306026376,Nassim
9169,Orchard,103.8283551,1.307013533,Boulevard
9179,Orchard,103.83049,1.305879662,Boulevard
9191,Orchard,103.8254976,1.304886531,Tanglin
9212,Orchard,103.8326552,1.307022384,Boulevard
9213,Orchard,103.8330508,1.307838056,Boulevard
9219,Orchard,103.8331609,1.307319997,Boulevard
10009,Bukit Merah,103.8172248,1.282101559,Bukit Merah
10011,Bukit Merah,103.8374971,1.277738059,Everton Park
10017,Bukit Merah,103.8376257,1.278320466,Singapore General Hospital
10018,Bukit Merah,103.8386036,1.279008197,Singapore General Hospital
10021,Bukit Merah,103.8383889,1.277448379,Everton Park
10041,Bukit Merah,103.8351907,1.276058348,Everton Park
10049,Bukit Merah,103.8348379,1.276233024,Singapore General Hospital
10051,Bukit Merah,103.8321441,1.277411635,Kampong Tiong Bahru
10059,Bukit Merah,103.8327518,1.277396642,Singapore General Hospital
10061,Bukit Merah,103.8294864,1.278604722,Kampong Tiong Bahru
10069,Bukit Merah,103.8300825,1.278554722,Singapore General Hospital
10071,Bukit Merah,103.8263892,1.280453094,Kampong Tiong Bahru
10079,Bukit Merah,103.8270891,1.280395014,Tiong Bahru Station
10081,Bukit Merah,103.8224174,1.282278354,Bukit Merah
10089,Bukit Merah,103.8216566,1.282923322,Henderson Hill
10091,Bukit Merah,103.8178396,1.283941086,Bukit Merah
10099,Bukit Merah,103.8176572,1.284209239,Redhill
10101,Bukit Merah,103.8137833,1.285061952,Bukit Merah
10109,Bukit Merah,103.8137053,1.285353157,Alexandra Hill
10111,Bukit Merah,103.8093541,1.285928351,Alexandra Hill
10119,Bukit Merah,103.8112252,1.28598009,Alexandra Hill
10121,Bukit Merah,103.8289054,1.282599246,Tiong Bahru
10129,Bukit Merah,103.8285719,1.28232,Tiong Bahru Station
10131,Bukit Merah,103.8068655,1.286191414,Alexandra Hill
10139,Bukit Merah,103.8081,1.286351354,Alexandra Hill
10141,Bukit Merah,103.8323818,1.285838471,Tiong Bahru
10149,Bukit Merah,103.8328338,1.286067975,Tiong Bahru
10151,Bukit Merah,103.8285292,1.285720484,Tiong Bahru Station
10161,Bukit Merah,103.8266897,1.285931354,Tiong Bahru Station
10169,Bukit Merah,103.8274812,1.285999614,Tiong Bahru Station
10171,Bukit Merah,103.82346,1.28736808,Henderson Hill
10179,Bukit Merah,103.8239583,1.287223333,Henderson Hill
10181,Bukit Merah,103.8210974,1.288503994,Henderson Hill
10189,Bukit Merah,103.8218319,1.288588052,Henderson Hill
10191,Bukit Merah,103.8190312,1.28860026,Redhill
10199,Bukit Merah,103.8193662,1.288757233,Henderson Hill
10201,Bukit Merah,103.8166285,1.289281445,Redhill
10209,Bukit Merah,103.8167289,1.289546317,Redhill
10211,Bukit Merah,103.8114417,1.290755,Alexandra Hill
10219,Bukit Merah,103.8119142,1.290895267,Alexandra Hill
10221,Bukit Merah,103.8311179,1.290329066,Bukit Ho Swee
10229,Bukit Merah,103.8317819,1.290521378,Bukit Ho Swee
10231,Bukit Merah,103.827881,1.290418509,Bukit Ho Swee
10239,Bukit Merah,103.828653,1.290606888,Bukit Ho Swee
10241,Bukit Merah,103.8236233,1.290616667,Henderson Hill
10249,Bukit Merah,103.8240778,1.290881389,Alexandra North
10261,Bukit Merah,103.8204723,1.290903358,Henderson Hill
10269,Bukit Merah,103.8205758,1.291253319,Alexandra North
10271,Bukit Merah,103.8175767,1.29116,Redhill
10279,Bukit Merah,103.8175766,1.291513732,Alexandra North
10281,Bukit Merah,103.8144517,1.291538333,Alexandra Hill
10289,Queenstown,103.8144064,1.291869975,Margaret Drive
10291,Bukit Merah,103.8106587,1.292158553,Alexandra Hill
