BusStopCode,planning_area,Longitude,Latitude,Description,RoadName,subzone_name
5651,Downtown Core,103.8430731,1.273218611,Opp Fuji Xerox Twrs,Tg Pagar Rd,Anson
6011,Bukit Merah,103.8380139,1.28166,Opp Outram Pk Stn,Outram Rd,Singapore General Hospital
6029,Bukit Merah,103.8383828,1.281770412,Outram Pk Stn,Outram Rd,People's Park
6031,Outram,103.8387917,1.286070556,Opp Blk 13,Chin Swee Rd,Pearl's Hill
6039,Outram,103.8396256,1.287059979,Blk 8,Chin Swee Rd,Pearl's Hill
6049,Bukit Merah,103.8351771,1.284748569,BEF OUTRAM FLYOVER,Outram Rd,Pearl's Hill
6051,Bukit Merah,103.8340567,1.28475981,Blk 55,Tiong Bahru Rd,Tiong Bahru
6069,Outram,103.8349616,1.286231577,Aft Furama RiverFront,Outram Rd,Pearl's Hill
6071,Bukit Merah,103.8336003,1.286858595,Blk 2B,Zion Rd,Tiong Bahru
6081,Bukit Merah,103.8334988,1.288370864,Blk 94,Zion Rd,Bukit Ho Swee
6129,Bukit Merah,103.8344092,1.290781621,Grand Copthorne Hotel,Kim Seng Rd,Robertson Quay
6131,Bukit Merah,103.8322275,1.291524722,The Boys' Brigade HQ,Zion Rd,Bukit Ho Swee
6141,Bukit Merah,103.8338124,1.289633009,Holiday Inn Atrium,Havelock Rd,Bukit Ho Swee
6149,Bukit Merah,103.8341153,1.289840457,Opp Holiday Inn Atrium,Havelock Rd,Bukit Ho Swee
6151,Singapore River,103.8373728,1.288709768,Hotel Miramar,Havelock Rd,Robertson Quay
6159,Singapore River,103.8368794,1.289093854,Opp Hotel Miramar,Havelock Rd,Robertson Quay
6161,Outram,103.8399429,1.289017057,Blk 2,Havelock Rd,Pearl's Hill
6169,Singapore River,103.8399894,1.289370789,River Pl Condo,Havelock Rd,Robertson Quay
6171,Outram,103.8425356,1.286101944,Opp State Ct,Upp Cross St,Pearl's Hill
6189,Outram,103.8432943,1.287791365,Ctrl Sq,Havelock Rd,Clarke Quay
7011,Rochor,103.8498102,1.300996991,Peace Ctr,Selegie Rd,Selegie
7021,Rochor,103.8499578,1.303245216,Selegie Ctr,Selegie Rd,Selegie
7031,Rochor,103.8512058,1.305720833,Tekka Ctr,S'goon Rd,Farrer Park
7111,Rochor,103.8531752,1.308793665,Broadway Hotel,S'goon Rd,Farrer Park
7211,Kallang,103.8563561,1.313137477,Aft Farrer Pk Stn Exit G,S'goon Rd,Lavender
7221,Kallang,103.857819,1.314966,Sri Vadapathira K Tp,S'goon Rd,Lavender
7231,Kallang,103.8573711,1.309658889,Bef Tai Hoe Hotel,Kitchener Rd,Lavender
7241,Kallang,103.8590062,1.315571421,Bef S'Goon Rd,Lavender St,Lavender
7249,Kallang,103.8594669,1.315368056,Aft Kempas Rd,Lavender St,Bendemeer
7319,Kallang,103.8587067,1.310388333,Aft Allenby Rd,Jln Besar,Lavender
7329,Kallang,103.8598909,1.312844726,Hoa Nam Bldg,Jln Besar,Lavender
7331,Kallang,103.8589096,1.308249945,Aft King George's Ave,Kitchener Rd,Lavender
7351,Kallang,103.8605453,1.313518333,ARC 380,Lavender St,Lavender
7359,Kallang,103.8607145,1.313682531,OPP ARC 380,Lavender St,Kallang Bahru
7361,Kallang,103.8618948,1.311676361,Bef Kallang Bahru,Lavender St,Lavender
7369,Kallang,103.8623789,1.311408056,Aft Kallang Bahru,Lavender St,Kallang Bahru
7371,Kallang,103.8635014,1.3095075,Aft Kallang Rd,Lavender St,Lavender
7379,Kallang,103.8633823,1.310173367,Aperia/Bef Kallang Rd ,Lavender St,Kallang Bahru
7419,Rochor,103.856163,1.306530241,Opp Veerasamy Rd,Jln Besar,Sungei Road
7517,Rochor,103.8524778,1.301452162,IBIS S'PORE ON BENCOOLEN,Bencoolen St,Bencoolen
7518,Rochor,103.8521118,1.300958284,OPP NAFA CAMPUS 3,Bencoolen St,Victoria
7529,Rochor,103.8550156,1.304319063,JLN BESAR STN EXIT A,Jln Besar,Sungei Road
7531,Rochor,103.8525732,1.303656444,Rochor Stn,Rochor Canal Rd,Bencoolen
7539,Rochor,103.852001,1.304613007,Opp Rochor Stn,Sungei Rd,Little India
7551,Downtown Core,103.8546132,1.301719758,Fu Lu Shou Cplx,Rochor Rd,Victoria
7561,Rochor,103.8526798,1.299454465,Bef Waterloo St,Middle Rd,Victoria
7569,Rochor,103.853014,1.299495313,Aft Waterloo St,Middle Rd,Victoria
7571,Rochor,103.8511401,1.300634446,SUNSHINE PLAZA,Middle Rd,Bencoolen
7589,Rochor,103.8555,1.303206098,Ch of Our Lady of Lourdes,Ophir Rd,Rochor Canal
