BusStopCode,Direction,Distance,Operator,ServiceNo,StopSequence
68039,1,15.4,SBST,102,32
67571,1,15.7,SBST,102,33
67561,1,16,SBST,102,34
67551,1,16.4,SBST,102,35
67541,1,17.1,SBST,102,36
67381,1,17.3,SBST,102,37
67391,1,17.6,SBST,102,38
67401,1,18.1,SBST,102,39
67181,1,18.5,SBST,102,40
67191,1,18.7,SBST,102,41
67349,1,19,SBST,102,42
67611,1,19.2,SBST,102,43
67601,1,19.7,SBST,102,44
67711,1,20.2,SBST,102,45
67721,1,20.6,SBST,102,46
67731,1,21,SBST,102,47
64409,1,21.5,SBST,102,48
64069,1,21.9,SBST,102,49
64059,1,22.3,SBST,102,50
64049,1,22.6,SBST,102,51
64009,1,23.3,SBST,102,52
66009,1,0,SBST,103,1
62131,1,0.5,SBST,103,2
62141,1,0.9,SBST,103,3
63141,1,1.3,SBST,103,4
63361,1,1.8,SBST,103,5
63181,1,2.2,SBST,103,6
63191,1,2.6,SBST,103,7
63201,1,2.8,SBST,103,8
63211,1,3.1,SBST,103,9
64101,1,3.6,SBST,103,10
64111,1,4,SBST,103,11
64121,1,4.4,SBST,103,12
67079,1,4.7,SBST,103,13
67069,1,5.1,SBST,103,14
67059,1,5.4,SBST,103,15
67049,1,5.8,SBST,103,16
67081,1,6.1,SBST,103,17
68011,1,6.4,SBST,103,18
68021,1,6.8,SBST,103,19
68031,1,7.2,SBST,103,20
68051,1,7.5,SBST,103,21
68111,1,7.9,SBST,103,22
68061,1,8.5,SBST,103,23
68091,1,9.1,SBST,103,24
68081,1,9.4,SBST,103,25
68101,1,9.9,SBST,103,26
68121,1,10.3,SBST,103,27
68161,1,10.8,SBST,103,28
68131,1,11.6,SBST,103,29
68141,1,12.1,SBST,103,30
68151,1,12.5,SBST,103,31
68171,1,14.3,SBST,103,32
59779,1,14.8,SBST,103,33
59789,1,15,SBST,103,34
59461,1,15.6,SBST,103,35
59459,1,16.2,SBST,103,36
59709,1,16.5,SBST,103,37
59349,1,16.8,SBST,103,38
58991,1,17.4,SBST,103,39
59009,1,17.9,SBST,103,40
59009,2,0,SBST,103,1
59069,2,0.2,SBST,103,2
59341,2,1,SBST,103,3
59701,2,1.3,SBST,103,4
59651,2,1.6,SBST,103,5
59451,2,1.9,SBST,103,6
59469,2,2.4,SBST,103,7
59781,2,3,SBST,103,8
59771,2,3.1,SBST,103,9
68179,2,3.7,SBST,103,10
68159,2,5.4,SBST,103,11
68149,2,6,SBST,103,12
68139,2,6.3,SBST,103,13
68169,2,7.1,SBST,103,14
68129,2,7.6,SBST,103,15
68109,2,8,SBST,103,16
68089,2,8.4,SBST,103,17
68099,2,8.7,SBST,103,18
68069,2,9.3,SBST,103,19
68119,2,9.9,SBST,103,20
68059,2,10.2,SBST,103,21
68049,2,10.4,SBST,103,22
68039,2,10.6,SBST,103,23
