"long.f","lat.f","between.f","closeness.f","eigen.f","degree.f","long.t","lat.t","BusStopCode","Description","RoadName","planning_area","combined.f"
103.8158784,1.294283329,0.0192835813254808,0.00108504701900819,3.0036253646839e-05,0.142857142857143,103.8170739,1.299129722,"10321","Aft Margaret Dr","Tanglin Rd","Queenstown",-23.1336488111474
103.8159746,1.293646713,0.0177877479654014,0.983310537167536,2.69054627870823e-05,0,103.8167289,1.289546317,"10329","Crescent Girls' Sch","Tanglin Rd","Bukit Merah",-Inf
103.8183442,1.281363066,0.0121989939787849,0.985677820130233,0.000230838222447443,0,103.8172248,1.282101559,"10331","Bef Bt Merah Ctrl","Henderson Rd","Bukit Merah",-Inf
103.8185725,1.281158351,0.0140289758163045,0.985234625385539,0.000221694836298878,0.142857142857143,103.8168725,1.279143531,"10339","Aft Bt Merah Ctrl","Henderson Rd","Bukit Merah",-14.6416247369552
103.8185725,1.281158351,0.0140289758163045,0.985234625385539,0.000221694836298878,0.142857142857143,103.8173299,1.279474057,"10339","Aft Bt Merah Ctrl","Henderson Rd","Bukit Merah",-14.6416247369552
103.820593,1.284846396,0.0344089829910083,0.985069410277686,0.000206004805058885,0,103.8220499,1.286755018,"10341","Opp Blk 116","Henderson Rd","Bukit Merah",-Inf
103.8210415,1.284983341,0.034291306815331,0.985694673237683,2.30605746714609e-05,0.142857142857143,103.8172248,1.282101559,"10349","Blk 116","Henderson Rd","Bukit Merah",-16.0105683086997
103.8210415,1.284983341,0.034291306815331,0.985694673237683,2.30605746714609e-05,0.142857142857143,103.8185725,1.281158351,"10349","Blk 116","Henderson Rd","Bukit Merah",-16.0105683086997
103.8220499,1.286755018,0.0344919613646234,0.985548784762371,0.000140162241097891,0.142857142857143,103.8239583,1.287223333,"10351","Bef Tiong Bahru Rd","Henderson Rd","Bukit Merah",-14.2002057274747
103.8220499,1.286755018,0.0344919613646234,0.985548784762371,0.000140162241097891,0.142857142857143,103.8210974,1.288503994,"10351","Bef Tiong Bahru Rd","Henderson Rd","Bukit Merah",-14.2002057274747
103.822593,1.287238333,0.0342083284417159,0.985215054508575,3.38935019341154e-05,0,103.8210415,1.284983341,"10359","Aft Tiong Bahru Rd","Henderson Rd","Bukit Merah",-Inf
103.8235303,1.280380921,0.0324083027849091,0.985663856384829,0.000165846373338127,0.142857142857143,103.8224174,1.282278354,"10361","Cendex Ctr","Lower Delta Rd","Bukit Merah",-14.0941393381549
103.8235303,1.280380921,0.0324083027849091,0.985663856384829,0.000165846373338127,0.142857142857143,103.8245027,1.283650723,"10361","Cendex Ctr","Lower Delta Rd","Bukit Merah",-14.0941393381549
103.8238734,1.280374712,0.026456024494836,0.983663840283028,0.000164815208573081,0,103.8234583,1.276636379,"10369","Opp Cendex Ctr","Lower Delta Rd","Bukit Merah",-Inf
103.8245027,1.283650723,0.00612005018922614,0.00176482601038654,0.000277654321032017,0.142857142857143,103.8274812,1.285999614,"10371","Blk 129","Lower Delta Rd","Bukit Merah",-21.5709319693571
103.8245027,1.283650723,0.00612005018922614,0.00176482601038654,0.000277654321032017,0.142857142857143,103.8255941,1.289069722,"10371","Blk 129","Lower Delta Rd","Bukit Merah",-21.5709319693571
103.8248952,1.283736034,0.00717985195271377,0.986477353315001,4.81610222052478e-17,0.142857142857143,103.8224174,1.282278354,"10379","Blk 25B","Lower Delta Rd","Bukit Merah",-44.4679832228966
103.8248952,1.283736034,0.00717985195271377,0.986477353315001,4.81610222052478e-17,0.142857142857143,103.8238734,1.280374712,"10379","Blk 25B","Lower Delta Rd","Bukit Merah",-44.4679832228966
103.8255941,1.289069722,0.0195112779340317,0.00135686131387627,0.000276856070965584,0.142857142857143,103.828653,1.290606888,"10381","Opp Blk 48","Lower Delta Rd","Bukit Merah",-20.6772666641628
103.8255941,1.289069722,0.0195112779340317,0.00135686131387627,0.000276856070965584,0.142857142857143,103.8263656,1.293343059,"10381","Opp Blk 48","Lower Delta Rd","Bukit Merah",-20.6772666641628
103.8257346,1.28875833,0.00456603318383809,0.987939335412752,2.98214156950365e-17,0.285714285714286,103.8274812,1.285999614,"10389","Blk 48","Lower Delta Rd","Bukit Merah",-44.7053123073254
103.8257346,1.28875833,0.00456603318383809,0.987939335412752,2.98214156950365e-17,0.285714285714286,103.82346,1.28736808,"10389","Blk 48","Lower Delta Rd","Bukit Merah",-44.7053123073254
103.8257346,1.28875833,0.00456603318383809,0.987939335412752,2.98214156950365e-17,0.285714285714286,103.8248952,1.283736034,"10389","Blk 48","Lower Delta Rd","Bukit Merah",-44.7053123073254
103.8312564,1.276271053,0.000810594987252516,0.000270979192468715,4.00664246391833e-05,0,103.8348379,1.276233024,"10391","Opp Melati Blk 2","Kg Bahru Rd","Bukit Merah",-Inf
103.8301945,1.275881663,0.00122281969331896,0.986000656458075,0,0,103.8289337,1.273593322,"10399","Melati Blk 2","Kg Bahru Rd","Bukit Merah",-Inf
103.8116914,1.296805974,0.010944995655499,0.982357190755813,5.81210031426469e-05,0,103.8146822,1.296799931,"10461","Aft Margaret Dr","Kay Siang Rd","Tanglin",-Inf
103.8121692,1.296684,0.00857640761578935,0.000406509092960563,1.39044280219187e-05,0,103.8078866,1.296850536,"10469","Bef Margaret Dr","Kay Siang Rd","Queenstown",-Inf
103.8146822,1.296799931,0.0110279740291141,0.982833727546724,3.95445633077347e-05,0,103.8159746,1.293646713,"10471","Bef Tanglin Rd","Kay Siang Rd","Tanglin",-Inf
103.8154738,1.296681,0.0107168051280574,0.000542065862929795,2.04361671278703e-05,0,103.8121692,1.296684,"10479","Aft Tanglin Rd","Kay Siang Rd","Queenstown",-Inf
103.83401,1.275854004,6.66790502264203e-06,0.000271032995536263,0,0.142857142857143,103.8376257,1.278320466,"10499","KAMPONG BAHRU TER","Spooner Rd","Bukit Merah",-Inf
103.83401,1.275854004,6.66790502264203e-06,0.000271032995536263,0,0.142857142857143,103.8348379,1.276233024,"10499","KAMPONG BAHRU TER","Spooner Rd","Bukit Merah",-Inf
103.8252807,1.281058454,0.0121285487970179,0.986464822082905,4.46476015975023e-17,0,103.8224174,1.282278354,"10501","Blk 104","Jln Bt Merah","Bukit Merah",-Inf
103.8261095,1.291723031,0.0178344233005599,0.991338036521755,8.14807573940546e-17,0.142857142857143,103.8236233,1.290616667,"10519","Blk 4","Delta Rd","Bukit Merah",-43.0273994284672
103.8261095,1.291723031,0.0178344233005599,0.991338036521755,8.14807573940546e-17,0.142857142857143,103.8257346,1.28875833,"10519","Blk 4","Delta Rd","Bukit Merah",-43.0273994284672
103.8154767,1.28329993,0.0847367742574055,0.985679104164533,7.82723107261504e-05,0,103.8172248,1.282101559,"10651","Blk 161","Bt Merah Ctrl","Bukit Merah",-Inf
103.8147283,1.283623333,0.0625747077255388,0.986461287666843,0.000206004805058906,0,103.8137833,1.285061952,"10659","Blk 1003","Bt Merah Ctrl","Bukit Merah",-Inf
103.7893224,1.311067355,0.122121692651907,0.988492023711616,0.000174288272580131,0,103.7896861,1.309310226,"11009","Ghim Moh Ter","Ghim Moh Rd","Queenstown",-Inf
103.8056568,1.286796325,0.109375152539013,0.98424350496437,0.000248511852885604,0,103.8081,1.286351354,"11019","Pk Hotel Alexandra","Jln Bt Merah","Bukit Merah",-Inf
103.8022869,1.289418056,0.229460948567924,0.987436872308225,0.000218584984160713,0,103.800455,1.291196667,"11021","Aft Queenstown NPC HQ","Queensway","Queenstown",-Inf
103.8020211,1.290134722,0.203418642883799,0.987024090939685,0.000133050428207128,0.142857142857143,103.8056568,1.286796325,"11029","Blk 166","Queensway","Queenstown",-12.4762424661135
103.8020211,1.290134722,0.203418642883799,0.987024090939685,0.000133050428207128,0.142857142857143,103.8033413,1.286657422,"11029","Blk 166","Queensway","Queenstown",-12.4762424661135
103.800455,1.291196667,0.22954392694154,0.987918091660263,0.000148721585604058,0,103.7995233,1.296245,"11031","Opp Queen's Cl","Queensway","Queenstown",-Inf
103.7999868,1.292457629,0.203335664510184,0.986543547047206,0.000195552149502483,0,103.8020211,1.290134722,"11039","Blk 19","Queensway","Queenstown",-Inf
103.7995233,1.296245,0.229626905315155,0.988399588384718,0.000101187691869597,0,103.800298,1.298721667,"11041","Aft C'wealth Dr","Queensway","Queenstown",-Inf
103.7995255,1.295460937,0.203252686136569,0.98606327965812,0.000287414656911181,0,103.7999868,1.292457629,"11049","Opp Blessed Sacrament Ch","Queensway","Queenstown",-Inf
103.800298,1.298721667,0.22970988368877,0.988881362721474,6.88464216158905e-05,0.142857142857143,103.8011869,1.302657778,"11051","Opp Queenstown Polyclinic","Queensway","Queenstown",-13.0116615097077
103.800298,1.298721667,0.22970988368877,0.988881362721474,6.88464216158905e-05,0.142857142857143,103.7983908,1.302133056,"11051","Opp Queenstown Polyclinic","Queensway","Queenstown",-13.0116615097077
103.8009739,1.298828928,0.203169707762954,0.985583288533847,0.000422430462756647,0,103.7995255,1.295460937,"11059","Queenstown Polyclinic","Queensway","Queenstown",-Inf
103.8011869,1.302657778,0.249193934343959,0.988308451366519,7.42563724874081e-05,0.142857142857143,103.8017094,1.306213056,"11061","Opp Queensway Sec Sch","Queensway","Queenstown",-12.8551813733706
103.8011869,1.302657778,0.249193934343959,0.988308451366519,7.42563724874081e-05,0.142857142857143,103.8002978,1.306064722,"11061","Opp Queensway Sec Sch","Queensway","Queenstown",-12.8551813733706
