"long.f","lat.f","between.f","closeness.f","eigen.f","degree.f","BusStopCode","planning_area","Description","RoadName","subzone_name","district","combined.f"
103.8530651,1.281626013,0.295,0.974,0.481,0.125,"3381","Downtown Core","The Sail","Marina Blvd","Central Subzone","Central Region",7.61954794346816
103.8549801,1.280376603,0.295,0.981,0.435,0.375,"3391","Downtown Core","Marina Bay Financial Ctr","Marina Blvd","Central Subzone","Central Region",8.03759784602579
103.863009,1.271592999,0,0.978,0,0.125,"3411","Others","Opp Marina Sth Pier","Marina Coastal Dr","Straits View","Central Region",6.06312838202001
103.8629769,1.271276985,0,0,0.239,0,"3419","Others","Marina Sth Pier","Marina Coastal Dr","Straits View","Central Region",4.49995324322126
103.8606111,1.285004677,0.008,0.982,0.356,0.25,"3501","Downtown Core","Marina Bay Sands Theatre","Bayfront Ave","Bayfront Subzone","Central Region",7.06370910163861
103.8600439,1.28315,0.039,0.962,0.375,0.125,"3509","Downtown Core","Bayfront Stn Exit B/MBS","Bayfront Ave","Bayfront Subzone","Central Region",6.88407911683068
103.8589706,1.281947795,0.008,0.974,0.394,0.125,"3511","Downtown Core","Aft Bayfront Stn Exit E","Bayfront Ave","Bayfront Subzone","Central Region",6.86999864309139
103.858848,1.281245,0.039,0.97,0.34,0.125,"3519","Downtown Core","Bayfront Stn Exit A","Bayfront Ave","Bayfront Subzone","Central Region",6.83125360399947
103.8527877,1.279399574,0.322,0.985,0.509,0.125,"3529","Downtown Core","Downtown Stn","Central Blvd","Central Subzone","Central Region",7.73886777837956
103.8556161,1.277533055,0.322,0.978,0.562,0.125,"3539","Downtown Core","Marina Bay Stn","Central Blvd","Central Subzone","Central Region",7.82154851312926
103.8497561,1.298072169,0.138,0.984,0.29,0.375,"4019","Others","OPP BENCOOLEN STN EXIT B","Bencoolen St","Bras Basah","Central Region",7.45877260578776
103.8509267,1.299481667,0.033,0.961,0.153,0.125,"4029","Others","BEF BENCOOLEN STN EXIT A","Bencoolen St","Victoria","Central Region",6.4368128490487
103.851391,1.293954442,0.456,0.97,0.439,0.125,"4111","Downtown Core","Capitol Bldg","Stamford Rd","City Hall","Central Region",7.83724664913801
103.8495803,1.296185441,0.536,0.977,0.4,0.25,"4121","Others","SMU","Stamford Rd","Bras Basah","Central Region",8.17194277369537
103.8496599,1.293098264,0.016,0.956,0.309,0.25,"4142","Downtown Core","Armenian Ch","Hill St","Bras Basah","Central Region",6.95098243825683
103.8502061,1.294116408,0.078,0.97,0.279,0.125,"4143","Others","Stamford Ct","Hill St","Bras Basah","Central Region",6.79905618114084
