"from","to","DAY_TYPE","weight","category"
"253","142","WEEKDAY",40,1
"181","142","WEEKENDS/HOLIDAY",100,1
"254","142","WEEKENDS/HOLIDAY",20,1
"186","142","WEEKDAY",320,1
"103","83","WEEKDAY",818,1
"219","83","WEEKENDS/HOLIDAY",16,1
"6","83","WEEKENDS/HOLIDAY",6,1
"313","83","WEEKENDS/HOLIDAY",6,1
"223","83","WEEKDAY",8,1
"223","83","WEEKENDS/HOLIDAY",4,1
"241","83","WEEKENDS/HOLIDAY",22,1
"169","83","WEEKDAY",2,1
"22","83","WEEKDAY",54,1
"121","83","WEEKDAY",2160,1
"136","83","WEEKENDS/HOLIDAY",14,1
"206","83","WEEKENDS/HOLIDAY",10,1
"195","83","WEEKENDS/HOLIDAY",738,1
"48","83","WEEKDAY",2,1
"200","83","WEEKENDS/HOLIDAY",468,1
"164","83","WEEKDAY",148,1
"136","83","WEEKDAY",38,1
"160","83","WEEKDAY",4,1
"164","83","WEEKENDS/HOLIDAY",32,1
"6","83","WEEKDAY",24,1
"269","83","WEEKENDS/HOLIDAY",18,1
"212","83","WEEKENDS/HOLIDAY",108,1
"32","83","WEEKDAY",18,1
"121","83","WEEKENDS/HOLIDAY",972,1
"241","83","WEEKDAY",60,1
"219","83","WEEKDAY",230,1
"200","83","WEEKDAY",1998,1
"87","83","WEEKENDS/HOLIDAY",6,1
"101","83","WEEKDAY",2322,1
"101","83","WEEKENDS/HOLIDAY",396,1
"183","83","WEEKDAY",10,1
"9","83","WEEKENDS/HOLIDAY",54,1
"269","83","WEEKDAY",32,1
"171","83","WEEKDAY",2,1
"182","83","WEEKDAY",40,1
"212","83","WEEKDAY",144,1
"103","83","WEEKENDS/HOLIDAY",188,1
"9","83","WEEKDAY",36,1
"236","83","WEEKDAY",24,1
"195","83","WEEKDAY",738,1
"22","83","WEEKENDS/HOLIDAY",18,1
"87","83","WEEKDAY",6,1
"183","83","WEEKENDS/HOLIDAY",4,1
"236","83","WEEKENDS/HOLIDAY",10,1
"160","83","WEEKENDS/HOLIDAY",2,1
"24","161","WEEKDAY",140,1
"24","161","WEEKENDS/HOLIDAY",80,1
"70","161","WEEKENDS/HOLIDAY",20,1
"200","161","WEEKENDS/HOLIDAY",180,1
"119","161","WEEKDAY",20,1
"137","161","WEEKDAY",180,1
"200","161","WEEKDAY",900,1
"137","161","WEEKENDS/HOLIDAY",20,1
"153","161","WEEKDAY",20,1
"70","161","WEEKDAY",40,1
"142","161","WEEKENDS/HOLIDAY",120,1
"142","161","WEEKDAY",240,1
"103","46","WEEKDAY",152,1
"82","46","WEEKDAY",126,1
"230","46","WEEKENDS/HOLIDAY",18,1
"83","46","WEEKENDS/HOLIDAY",146,1
"169","46","WEEKENDS/HOLIDAY",90,1
"165","46","WEEKENDS/HOLIDAY",8,1
"208","46","WEEKDAY",90,1
"148","46","WEEKDAY",2,1
"59","46","WEEKDAY",396,1
"110","46","WEEKDAY",4,1
"61","46","WEEKENDS/HOLIDAY",18,1
"72","46","WEEKDAY",6,1
"103","46","WEEKENDS/HOLIDAY",46,1
"83","46","WEEKDAY",328,1
