X1,DAY_TYPE,TIME_PER_HOUR,TOTAL_TRIPS,BusStopCode_x,BusStopCode_y
4107,WEEKENDS/HOLIDAY,17,40,60051,50211
4108,WEEKDAY,16,200,63389,66349
4109,WEEKDAY,16,140,3129,15191
4110,WEEKDAY,12,160,92131,93081
4111,WEEKENDS/HOLIDAY,12,120,92131,93081
4112,WEEKENDS/HOLIDAY,16,20,28639,28501
4113,WEEKDAY,16,180,28639,28501
4114,WEEKDAY,23,220,77339,77259
4115,WEEKENDS/HOLIDAY,23,120,77339,77259
4116,WEEKENDS/HOLIDAY,12,180,63219,82119
4117,WEEKDAY,12,200,63219,82119
4118,WEEKENDS/HOLIDAY,16,260,65271,77329
4119,WEEKDAY,16,240,65271,77329
4120,WEEKDAY,21,20,40069,80091
4121,WEEKDAY,20,20,78109,93069
4122,WEEKENDS/HOLIDAY,20,40,78109,93069
4123,WEEKDAY,10,20,83239,81069
4124,WEEKENDS/HOLIDAY,12,60,95041,65069
4125,WEEKDAY,12,20,95041,65069
4126,WEEKDAY,14,380,11401,42071
4127,WEEKENDS/HOLIDAY,14,460,11401,42071
4128,WEEKDAY,11,20,65281,63049
4129,WEEKDAY,21,20,54009,50019
4130,WEEKDAY,17,20,11021,45031
4131,WEEKDAY,0,20,76071,95159
4132,WEEKDAY,22,40,27271,23051
4133,WEEKDAY,17,4,10199,6149
4134,WEEKENDS/HOLIDAY,17,4,10199,6149
4135,WEEKDAY,9,240,64089,64521
4136,WEEKENDS/HOLIDAY,9,100,64089,64521
4137,WEEKDAY,21,20,42031,43041
4138,WEEKENDS/HOLIDAY,0,26,1121,81091
4139,WEEKENDS/HOLIDAY,0,14,1121,81091
4140,WEEKENDS/HOLIDAY,23,120,43329,44021
4141,WEEKDAY,23,300,43329,44021
4142,WEEKENDS/HOLIDAY,8,396,11139,9179
4143,WEEKDAY,8,2322,11139,9179
4144,WEEKDAY,13,40,97209,80049
4145,WEEKENDS/HOLIDAY,14,60,58369,58379
4146,WEEKDAY,14,40,58369,58379
4147,WEEKDAY,9,6,11229,2111
4148,WEEKDAY,17,60,62021,63361
4149,WEEKDAY,15,40,1013,59031
4150,WEEKENDS/HOLIDAY,15,40,1013,59031
4151,WEEKENDS/HOLIDAY,0,100,64031,64079
4152,WEEKDAY,0,40,64031,64079
4153,WEEKDAY,21,20,42039,64351
4154,WEEKENDS/HOLIDAY,21,100,11369,12071
4155,WEEKDAY,21,360,11369,12071
4156,WEEKDAY,23,60,43189,53121
4157,WEEKDAY,15,2,44251,3019
4158,WEEKDAY,21,320,15041,20101
4159,WEEKENDS/HOLIDAY,21,40,15041,20101
4160,WEEKDAY,13,15,64121,59789
4161,WEEKDAY,17,12,81179,1229
4162,WEEKENDS/HOLIDAY,11,60,20029,42019
4163,WEEKDAY,11,120,20029,42019
4164,WEEKENDS/HOLIDAY,20,1,84039,10041
4165,WEEKDAY,20,38,84039,10041
4166,WEEKDAY,20,2,84039,10041
4167,WEEKENDS/HOLIDAY,20,19,84039,10041
