"from","to","DAY_TYPE","weight","category"
"200","110","WEEKENDS/HOLIDAY",60,1
"163","110","WEEKENDS/HOLIDAY",20,1
"132","110","WEEKENDS/HOLIDAY",20,1
"176","110","WEEKDAY",60,1
"148","110","WEEKENDS/HOLIDAY",240,1
"210","210","WEEKENDS/HOLIDAY",60,1
"150","210","WEEKDAY",260,1
"150","210","WEEKENDS/HOLIDAY",60,1
"65","210","WEEKENDS/HOLIDAY",420,1
"65","210","WEEKDAY",500,1
"210","210","WEEKDAY",20,1
"220","210","WEEKENDS/HOLIDAY",40,1
"90","210","WEEKDAY",20,1
"53","210","WEEKDAY",560,1
"53","210","WEEKENDS/HOLIDAY",460,1
"223","210","WEEKDAY",120,1
"138","41","WEEKENDS/HOLIDAY",8,1
"193","41","WEEKDAY",18,1
"57","41","WEEKDAY",112,1
"152","41","WEEKDAY",18,1
"57","41","WEEKENDS/HOLIDAY",94,1
"138","41","WEEKDAY",32,1
"182","41","WEEKDAY",2,1
"199","92","WEEKDAY",40,1
"199","92","WEEKENDS/HOLIDAY",20,1
"108","92","WEEKDAY",820,1
"167","92","WEEKDAY",20,1
"108","92","WEEKENDS/HOLIDAY",440,1
"199","199","WEEKENDS/HOLIDAY",7160,1
"240","199","WEEKDAY",40,1
"182","199","WEEKDAY",280,1
"228","199","WEEKDAY",60,1
"195","199","WEEKDAY",20,1
"227","199","WEEKDAY",120,1
"108","199","WEEKENDS/HOLIDAY",980,1
"99","199","WEEKDAY",160,1
"118","199","WEEKENDS/HOLIDAY",80,1
"120","199","WEEKENDS/HOLIDAY",60,1
"153","199","WEEKDAY",500,1
"69","199","WEEKENDS/HOLIDAY",40,1
"24","199","WEEKDAY",620,1
"34","199","WEEKENDS/HOLIDAY",40,1
"163","199","WEEKDAY",300,1
"200","199","WEEKDAY",80,1
"214","199","WEEKENDS/HOLIDAY",300,1
"184","199","WEEKDAY",120,1
"126","199","WEEKDAY",240,1
"149","199","WEEKENDS/HOLIDAY",1080,1
"247","199","WEEKENDS/HOLIDAY",140,1
"132","199","WEEKDAY",60,1
"117","199","WEEKENDS/HOLIDAY",160,1
"167","199","WEEKDAY",680,1
"263","199","WEEKDAY",1660,1
"118","199","WEEKDAY",380,1
"117","199","WEEKDAY",200,1
"192","199","WEEKENDS/HOLIDAY",40,1
"133","199","WEEKENDS/HOLIDAY",40,1
"173","199","WEEKDAY",40,1
"214","199","WEEKDAY",360,1
"149","199","WEEKDAY",3620,1
"202","199","WEEKDAY",60,1
"103","199","WEEKENDS/HOLIDAY",80,1
"46","199","WEEKDAY",20,1
"202","199","WEEKENDS/HOLIDAY",60,1
"167","199","WEEKENDS/HOLIDAY",60,1
"126","199","WEEKENDS/HOLIDAY",160,1
"199","199","WEEKDAY",24520,1
"133","199","WEEKDAY",20,1
"163","199","WEEKENDS/HOLIDAY",80,1
"247","199","WEEKDAY",260,1
"78","199","WEEKDAY",100,1
"108","199","WEEKDAY",2220,1
"232","199","WEEKENDS/HOLIDAY",20,1
"184","199","WEEKENDS/HOLIDAY",140,1
"182","199","WEEKENDS/HOLIDAY",220,1
"180","199","WEEKENDS/HOLIDAY",40,1
"34","199","WEEKDAY",100,1
"29","199","WEEKENDS/HOLIDAY",20,1
"231","199","WEEKDAY",1220,1
"189","199","WEEKENDS/HOLIDAY",140,1
"69","199","WEEKDAY",480,1
"180","199","WEEKDAY",80,1
"262","199","WEEKENDS/HOLIDAY",100,1
"120","199","WEEKDAY",180,1
"24","199","WEEKENDS/HOLIDAY",600,1
"263","199","WEEKENDS/HOLIDAY",1740,1
"282","199","WEEKDAY",60,1
"189","199","WEEKDAY",380,1
"231","199","WEEKENDS/HOLIDAY",220,1
"103","199","WEEKDAY",580,1
"153","199","WEEKENDS/HOLIDAY",180,1
"72","199","WEEKDAY",20,1
"213","199","WEEKDAY",20,1
"262","199","WEEKDAY",140,1
"171","199","WEEKENDS/HOLIDAY",140,1
"282","199","WEEKENDS/HOLIDAY",20,1
"185","153","WEEKDAY",20,1
"149","153","WEEKDAY",1720,1
"163","153","WEEKDAY",40,1
"132","153","WEEKENDS/HOLIDAY",100,1
"190","153","WEEKDAY",80,1
"142","153","WEEKDAY",60,1
"137","153","WEEKDAY",260,1
"24","153","WEEKDAY",20,1
"200","153","WEEKENDS/HOLIDAY",80,1
"163","153","WEEKENDS/HOLIDAY",100,1
"182","153","WEEKDAY",480,1
"189","153","WEEKDAY",2340,1
"132","153","WEEKDAY",40,1
"151","153","WEEKDAY",320,1
"120","153","WEEKDAY",60,1
"53","153","WEEKENDS/HOLIDAY",60,1
"53","153","WEEKDAY",20,1
"83","153","WEEKENDS/HOLIDAY",40,1
"159","153","WEEKENDS/HOLIDAY",20,1
"148","153","WEEKDAY",120,1
"151","153","WEEKENDS/HOLIDAY",20,1
"83","153","WEEKDAY",40,1
"200","153","WEEKDAY",160,1
"182","153","WEEKENDS/HOLIDAY",180,1
"57","153","WEEKDAY",20,1
"153","153","WEEKENDS/HOLIDAY",200,1
"149","153","WEEKENDS/HOLIDAY",400,1
"170","153","WEEKDAY",80,1
"109","153","WEEKENDS/HOLIDAY",20,1
"148","153","WEEKENDS/HOLIDAY",60,1
"170","153","WEEKENDS/HOLIDAY",20,1
"137","153","WEEKENDS/HOLIDAY",20,1
"185","153","WEEKENDS/HOLIDAY",20,1
"109","153","WEEKDAY",40,1
"153","153","WEEKDAY",280,1
"189","153","WEEKENDS/HOLIDAY",1060,1
"253","108","WEEKENDS/HOLIDAY",80,1
"163","108","WEEKENDS/HOLIDAY",40,1
