"long.f","lat.f","between.f","closeness.f","eigen.f","degree.f","BusStopCode","Description","RoadName","planning_area","combined.f"
103.8373728,1.288709768,0,0,0,0,"6151","Hotel Miramar","Havelock Rd","Others",-Inf
103.8368794,1.289093854,0,0,0,0,"6159","Opp Hotel Miramar","Havelock Rd","Others",-Inf
103.8399429,1.289017057,0,0,0,0,"6161","Blk 2","Havelock Rd","Others",-Inf
103.8399894,1.289370789,0,0,0,0,"6169","River Pl Condo","Havelock Rd","Others",-Inf
103.8425356,1.286101944,0,0,0,0,"6171","Opp State Ct","Upp Cross St","Others",-Inf
103.8432943,1.287791365,0,0,0,0,"6189","Ctrl Sq","Havelock Rd","Others",-Inf
103.8498102,1.300996991,0,0,0,0,"7011","Peace Ctr","Selegie Rd","Others",-Inf
103.8499578,1.303245216,0,0,0,0,"7021","Selegie Ctr","Selegie Rd","Others",-Inf
103.8512058,1.305720833,0,0,0,0,"7031","Tekka Ctr","S'goon Rd","Others",-Inf
103.8531752,1.308793665,0,0,0,0,"7111","Broadway Hotel","S'goon Rd","Others",-Inf
103.8563561,1.313137477,0,0,0,0,"7211","Aft Farrer Pk Stn Exit G","S'goon Rd","Kallang",-Inf
103.857819,1.314966,0,0,0,0,"7221","Sri Vadapathira K Tp","S'goon Rd","Kallang",-Inf
103.8573711,1.309658889,0,0,0,0,"7231","Bef Tai Hoe Hotel","Kitchener Rd","Kallang",-Inf
103.8590062,1.315571421,0,0,0,0,"7241","Bef S'Goon Rd","Lavender St","Kallang",-Inf
103.8594669,1.315368056,0,0,0,0,"7249","Aft Kempas Rd","Lavender St","Kallang",-Inf
103.8587067,1.310388333,0,0,0,0,"7319","Aft Allenby Rd","Jln Besar","Kallang",-Inf
103.8598909,1.312844726,0,0,0,0,"7329","Hoa Nam Bldg","Jln Besar","Kallang",-Inf
103.8589096,1.308249945,0,0,0,0,"7331","Aft King George's Ave","Kitchener Rd","Kallang",-Inf
103.8605453,1.313518333,0,0,0,0,"7351","ARC 380","Lavender St","Kallang",-Inf
103.8607145,1.313682531,0,0,0,0,"7359","OPP ARC 380","Lavender St","Kallang",-Inf
103.8618948,1.311676361,0,0,0,0,"7361","Bef Kallang Bahru","Lavender St","Kallang",-Inf
103.8623789,1.311408056,0,0,0,0,"7369","Aft Kallang Bahru","Lavender St","Kallang",-Inf
103.8635014,1.3095075,0,0,0,0,"7371","Aft Kallang Rd","Lavender St","Kallang",-Inf
