,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,BusStopCode_x,RoadName_Origin,Description_Origin,Planning_Area_Origin,Latitude_Origin,Longitude_Origin,BusStopCode_y,RoadName_Destination,Description_Destination,Planning_Area_Destination,Latitude_Destination,Longitude_Destination
6005,2020-01,WEEKENDS/HOLIDAY,5,BUS,43401,15199,20,43401.0,Bt Batok West Ave 3,Bt Batok Polyclinic,BUKIT BATOK,1.35226498779767,103.7468163731673,15199.0,Pasir Panjang Rd,Opp Currency Hse,QUEENSTOWN,1.27604240853686,103.79318399639808
6006,2020-01,WEEKDAY,5,BUS,43401,15199,40,43401.0,Bt Batok West Ave 3,Bt Batok Polyclinic,BUKIT BATOK,1.35226498779767,103.7468163731673,15199.0,Pasir Panjang Rd,Opp Currency Hse,QUEENSTOWN,1.27604240853686,103.79318399639808
6007,2020-01,WEEKDAY,15,BUS,72069,80049,140,72069.0,Bedok Reservoir Rd,Blk 121,BEDOK,1.33150994155892,103.90977961908514,80049.0,Geylang Rd,Aft Sims Way,KALLANG,1.31077707819718,103.87363663982292
6008,2020-01,WEEKENDS/HOLIDAY,15,BUS,72069,80049,80,72069.0,Bedok Reservoir Rd,Blk 121,BEDOK,1.33150994155892,103.90977961908514,80049.0,Geylang Rd,Aft Sims Way,KALLANG,1.31077707819718,103.87363663982292
6009,2020-01,WEEKENDS/HOLIDAY,18,BUS,3501,1013,46,3501.0,Bayfront Ave,Marina Bay Sands Theatre,DOWNTOWN CORE,1.2850046767136698,103.86061105386429,1013.0,Victoria St,St. Joseph's Ch,ROCHOR,1.29770970610083,103.8532247463225
6010,2020-01,WEEKDAY,18,BUS,3501,1013,48,3501.0,Bayfront Ave,Marina Bay Sands Theatre,DOWNTOWN CORE,1.2850046767136698,103.86061105386429,1013.0,Victoria St,St. Joseph's Ch,ROCHOR,1.29770970610083,103.8532247463225
6011,2020-01,WEEKDAY,15,BUS,40229,9037,82,40229.0,Stevens Rd,Aft Stevens Stn,TANGLIN,1.31980673102836,103.82570665178494,9037.0,Orchard Rd,Opp Mandarin Orchard,ORCHARD,1.3023400420296,103.83701253388183
6012,2020-01,WEEKENDS/HOLIDAY,15,BUS,40229,9037,56,40229.0,Stevens Rd,Aft Stevens Stn,TANGLIN,1.31980673102836,103.82570665178494,9037.0,Orchard Rd,Opp Mandarin Orchard,ORCHARD,1.3023400420296,103.83701253388183
6013,2020-01,WEEKDAY,8,BUS,11161,19041,240,11161.0,C'wealth Ave,C'Wealth Stn Exit A/D,QUEENSTOWN,1.30213305598263,103.79839083302141,19041.0,C'wealth Ave West,Opp Sch Of Science & Tech,QUEENSTOWN,1.31235972197855,103.77552750001335
6014,2020-01,WEEKDAY,15,BUS,44481,44469,320,44481.0,Choa Chu Kang Ctrl,Blk 223,CHOA CHU KANG,1.38184295668756,103.74495854313908,44469.0,Choa Chu Kang Way,Blk 414,CHOA CHU KANG,1.38243888902379,103.74275222200649
6015,2020-01,WEEKDAY,10,BUS,51099,13011,40,51099.0,Whitley Rd,Catholic JC,NOVENA,1.325881667006,103.83453421618759,13011.0,Napier Rd,Opp S'pore Botanic Gdns,TANGLIN,1.30634849184404,103.81983822614548
6016,2020-01,WEEKENDS/HOLIDAY,10,BUS,51099,13011,40,51099.0,Whitley Rd,Catholic JC,NOVENA,1.325881667006,103.83453421618759,13011.0,Napier Rd,Opp S'pore Botanic Gdns,TANGLIN,1.30634849184404,103.81983822614548
6017,2020-01,WEEKDAY,22,BUS,4167,10501,40,4167.0,Nth Bridge Rd,City Hall Stn Exit B,DOWNTOWN CORE,1.29250006522444,103.85145315468635,10501.0,Jln Bt Merah,Blk 104,BUKIT MERAH,1.2810584535542902,103.82528065411316
6018,2020-01,WEEKENDS/HOLIDAY,22,BUS,4167,10501,60,4167.0,Nth Bridge Rd,City Hall Stn Exit B,DOWNTOWN CORE,1.29250006522444,103.85145315468635,10501.0,Jln Bt Merah,Blk 104,BUKIT MERAH,1.2810584535542902,103.82528065411316
6019,2020-01,WEEKDAY,19,BUS,2161,7211,18,2161.0,Temasek Ave,Promenade Stn,DOWNTOWN CORE,1.29268553508737,103.86093156188177,7211.0,S'goon Rd,Aft Farrer Pk Stn Exit G,KALLANG,1.31313747728456,103.85635614397141
6020,2020-01,WEEKENDS/HOLIDAY,19,BUS,2161,7211,2,2161.0,Temasek Ave,Promenade Stn,DOWNTOWN CORE,1.29268553508737,103.86093156188177,7211.0,S'goon Rd,Aft Farrer Pk Stn Exit G,KALLANG,1.31313747728456,103.85635614397141
6021,2020-01,WEEKDAY,19,BUS,2161,7211,144,2161.0,Temasek Ave,Promenade Stn,DOWNTOWN CORE,1.29268553508737,103.86093156188177,7211.0,S'goon Rd,Aft Farrer Pk Stn Exit G,KALLANG,1.31313747728456,103.85635614397141
6022,2020-01,WEEKENDS/HOLIDAY,19,BUS,2161,7211,16,2161.0,Temasek Ave,Promenade Stn,DOWNTOWN CORE,1.29268553508737,103.86093156188177,7211.0,S'goon Rd,Aft Farrer Pk Stn Exit G,KALLANG,1.31313747728456,103.85635614397141
6023,2020-01,WEEKDAY,8,BUS,46961,4179,1512,46961.0,Woodlands Ave 4,Blk 547,WOODLANDS,1.43048944407628,103.79285722250488,4179.0,Bras Basah Rd,AFT BRAS BASAH STN EXIT A,MUSEUM,1.2964791630674095,103.85147164487202
6024,2020-01,WEEKENDS/HOLIDAY,19,BUS,72059,84461,40,72059.0,Kaki Bt Ave 1,Opp Kaki Bt Ind Est,BEDOK,1.33375833299433,103.90428000002385,84461.0,Bedok Reservoir Rd,Opp Blk 701,BEDOK,1.33807138901241,103.91939027798064
6025,2020-01,WEEKDAY,19,BUS,72059,84461,160,72059.0,Kaki Bt Ave 1,Opp Kaki Bt Ind Est,BEDOK,1.33375833299433,103.90428000002385,84461.0,Bedok Reservoir Rd,Opp Blk 701,BEDOK,1.33807138901241,103.91939027798064
6026,2020-01,WEEKENDS/HOLIDAY,15,BUS,77009,65049,1020,77009.0,Pasir Ris Dr 3,Pasir Ris Int,PASIR RIS,1.3737224021188,103.95021243108013,65049.0,Punggol Rd,Blk 126A,SENGKANG,1.38993499998792,103.90187166698628
6027,2020-01,WEEKDAY,15,BUS,77009,65049,1880,77009.0,Pasir Ris Dr 3,Pasir Ris Int,PASIR RIS,1.3737224021188,103.95021243108013,65049.0,Punggol Rd,Blk 126A,SENGKANG,1.38993499998792,103.90187166698628
6028,2020-01,WEEKDAY,21,BUS,52059,54011,360,52059.0,Braddell Rd,Blk 219,TOA PAYOH,1.34309745890513,103.85622585798508,54011.0,Ang Mo Kio Ave 6,Blk 207,ANG MO KIO,1.3656704482087498,103.84341042482096
6029,2020-01,WEEKENDS/HOLIDAY,21,BUS,52059,54011,100,52059.0,Braddell Rd,Blk 219,TOA PAYOH,1.34309745890513,103.85622585798508,54011.0,Ang Mo Kio Ave 6,Blk 207,ANG MO KIO,1.3656704482087498,103.84341042482096
6030,2020-01,WEEKENDS/HOLIDAY,12,BUS,60221,1619,32,60221.0,Geylang Bahru,BLK 73/GEYLANG BAHRU STN,KALLANG,1.3221238055960098,103.87081431318352,1619.0,Beach Rd,Esplanade Stn Exit F,DOWNTOWN CORE,1.2942869417824598,103.8550380942423
6031,2020-01,WEEKENDS/HOLIDAY,12,BUS,60221,1619,4,60221.0,Geylang Bahru,BLK 73/GEYLANG BAHRU STN,KALLANG,1.3221238055960098,103.87081431318352,1619.0,Beach Rd,Esplanade Stn Exit F,DOWNTOWN CORE,1.2942869417824598,103.8550380942423
6032,2020-01,WEEKDAY,12,BUS,60221,1619,10,60221.0,Geylang Bahru,BLK 73/GEYLANG BAHRU STN,KALLANG,1.3221238055960098,103.87081431318352,1619.0,Beach Rd,Esplanade Stn Exit F,DOWNTOWN CORE,1.2942869417824598,103.8550380942423
6033,2020-01,WEEKDAY,12,BUS,60221,1619,80,60221.0,Geylang Bahru,BLK 73/GEYLANG BAHRU STN,KALLANG,1.3221238055960098,103.87081431318352,1619.0,Beach Rd,Esplanade Stn Exit F,DOWNTOWN CORE,1.2942869417824598,103.8550380942423
