"long.f","lat.f","between.f","closeness.f","eigen.f","degree.f","BusStopCode","planning_area","Description","RoadName","subzone_name","district","combined.f"
103.8411269,1.275534722,0,0,0,0,"5519","Others","Opp Maritime Hse","Cantonment Rd","Chinatown","Central Region",4
103.8405922,1.276768611,0,0,0,0,"5521","Others","Maritime Hse","Cantonment Rd","Everton Park","Central Region",4
103.84187,1.273211389,0,0,0,0,"5629","Downtown Core","Opp Southpoint","Cantonment Rd","Anson","Central Region",4
103.8403472,1.273460559,0,0,0,0,"5631","Bukit Merah","Blk 16","Cantonment Link","Everton Park","Central Region",4
103.8414062,1.272723931,0,0,0,0,"5641","Bukit Merah","Bef Cantonment Rd","Keppel Rd","Everton Park","Central Region",4
103.8409391,1.272384212,0,0,0,0,"5649","Bukit Merah","Opp Customs Port Br HQ","Keppel Rd","City Terminals","Central Region",4
103.8430731,1.273218611,0,0,0,0,"5651","Downtown Core","Opp Fuji Xerox Twrs","Tg Pagar Rd","Anson","Central Region",4
103.8380139,1.28166,0,0,0,0,"6011","Bukit Merah","Opp Outram Pk Stn","Outram Rd","Singapore General Hospital","Central Region",4
103.8383828,1.281770412,0,0,0,0,"6029","Bukit Merah","Outram Pk Stn","Outram Rd","People's Park","Central Region",4
103.8387917,1.286070556,0,0,0,0,"6031","Others","Opp Blk 13","Chin Swee Rd","Pearl's Hill","Central Region",4
103.8396256,1.287059979,0,0,0,0,"6039","Others","Blk 8","Chin Swee Rd","Pearl's Hill","Central Region",4
103.8351771,1.284748569,0,0,0,0,"6049","Bukit Merah","BEF OUTRAM FLYOVER","Outram Rd","Pearl's Hill","Central Region",4
103.8340567,1.28475981,0,0,0,0,"6051","Bukit Merah","Blk 55","Tiong Bahru Rd","Tiong Bahru","Central Region",4
103.8349616,1.286231577,0,0,0,0,"6069","Others","Aft Furama RiverFront","Outram Rd","Pearl's Hill","Central Region",4
103.8336003,1.286858595,0,0,0,0,"6071","Bukit Merah","Blk 2B","Zion Rd","Tiong Bahru","Central Region",4
103.8334988,1.288370864,0,0,0,0,"6081","Bukit Merah","Blk 94","Zion Rd","Bukit Ho Swee","Central Region",4
103.8344092,1.290781621,0,0,0,0,"6129","Bukit Merah","Grand Copthorne Hotel","Kim Seng Rd","Robertson Quay","Central Region",4
103.8322275,1.291524722,0,0,0,0,"6131","Bukit Merah","The Boys' Brigade HQ","Zion Rd","Bukit Ho Swee","Central Region",4
103.8338124,1.289633009,0,0,0,0,"6141","Bukit Merah","Holiday Inn Atrium","Havelock Rd","Bukit Ho Swee","Central Region",4
103.8341153,1.289840457,0,0,0,0,"6149","Bukit Merah","Opp Holiday Inn Atrium","Havelock Rd","Bukit Ho Swee","Central Region",4
103.8373728,1.288709768,0,0,0,0,"6151","Others","Hotel Miramar","Havelock Rd","Robertson Quay","Central Region",4
103.8368794,1.289093854,0,0,0,0,"6159","Others","Opp Hotel Miramar","Havelock Rd","Robertson Quay","Central Region",4
103.8399429,1.289017057,0,0,0,0,"6161","Others","Blk 2","Havelock Rd","Pearl's Hill","Central Region",4
103.8399894,1.289370789,0,0,0,0,"6169","Others","River Pl Condo","Havelock Rd","Robertson Quay","Central Region",4
103.8425356,1.286101944,0,0,0,0,"6171","Others","Opp State Ct","Upp Cross St","Pearl's Hill","Central Region",4
103.8432943,1.287791365,0,0,0,0,"6189","Others","Ctrl Sq","Havelock Rd","Clarke Quay","Central Region",4
103.8498102,1.300996991,0,0,0,0,"7011","Others","Peace Ctr","Selegie Rd","Selegie","Central Region",4
103.8499578,1.303245216,0,0,0,0,"7021","Others","Selegie Ctr","Selegie Rd","Selegie","Central Region",4
103.8512058,1.305720833,0,0,0,0,"7031","Others","Tekka Ctr","S'goon Rd","Farrer Park","Central Region",4
103.8531752,1.308793665,0,0,0,0,"7111","Others","Broadway Hotel","S'goon Rd","Farrer Park","Central Region",4
103.8563561,1.313137477,0,0,0,0,"7211","Kallang","Aft Farrer Pk Stn Exit G","S'goon Rd","Lavender","Central Region",4
103.857819,1.314966,0,0,0,0,"7221","Kallang","Sri Vadapathira K Tp","S'goon Rd","Lavender","Central Region",4
103.8573711,1.309658889,0,0,0,0,"7231","Kallang","Bef Tai Hoe Hotel","Kitchener Rd","Lavender","Central Region",4
103.8590062,1.315571421,0,0,0,0,"7241","Kallang","Bef S'Goon Rd","Lavender St","Lavender","Central Region",4
103.8594669,1.315368056,0,0,0,0,"7249","Kallang","Aft Kempas Rd","Lavender St","Bendemeer","Central Region",4
103.8587067,1.310388333,0,0,0,0,"7319","Kallang","Aft Allenby Rd","Jln Besar","Lavender","Central Region",4
103.8598909,1.312844726,0,0,0,0,"7329","Kallang","Hoa Nam Bldg","Jln Besar","Lavender","Central Region",4
103.8589096,1.308249945,0,0,0,0,"7331","Kallang","Aft King George's Ave","Kitchener Rd","Lavender","Central Region",4
103.8605453,1.313518333,0,0,0,0,"7351","Kallang","ARC 380","Lavender St","Lavender","Central Region",4
103.8607145,1.313682531,0,0,0,0,"7359","Kallang","OPP ARC 380","Lavender St","Kallang Bahru","Central Region",4
103.8618948,1.311676361,0,0,0,0,"7361","Kallang","Bef Kallang Bahru","Lavender St","Lavender","Central Region",4
103.8623789,1.311408056,0,0,0,0,"7369","Kallang","Aft Kallang Bahru","Lavender St","Kallang Bahru","Central Region",4
103.8635014,1.3095075,0,0,0,0,"7371","Kallang","Aft Kallang Rd","Lavender St","Lavender","Central Region",4
103.8633823,1.310173367,0,0,0,0,"7379","Kallang","Aperia/Bef Kallang Rd ","Lavender St","Kallang Bahru","Central Region",4
103.856163,1.306530241,0,0,0,0,"7419","Others","Opp Veerasamy Rd","Jln Besar","Sungei Road","Central Region",4
103.8524778,1.301452162,0,0,0,0,"7517","Others","IBIS S'PORE ON BENCOOLEN","Bencoolen St","Bencoolen","Central Region",4
103.8521118,1.300958284,0,0,0,0,"7518","Others","OPP NAFA CAMPUS 3","Bencoolen St","Victoria","Central Region",4
103.8550156,1.304319063,0,0,0,0,"7529","Others","JLN BESAR STN EXIT A","Jln Besar","Sungei Road","Central Region",4
103.8525732,1.303656444,0,0,0,0,"7531","Others","Rochor Stn","Rochor Canal Rd","Bencoolen","Central Region",4
103.852001,1.304613007,0,0,0,0,"7539","Others","Opp Rochor Stn","Sungei Rd","Little India","Central Region",4
103.8546132,1.301719758,0,0,0,0,"7551","Downtown Core","Fu Lu Shou Cplx","Rochor Rd","Victoria","Central Region",4
103.8526798,1.299454465,0,0,0,0,"7561","Others","Bef Waterloo St","Middle Rd","Victoria","Central Region",4
103.853014,1.299495313,0,0,0,0,"7569","Others","Aft Waterloo St","Middle Rd","Victoria","Central Region",4
103.8511401,1.300634446,0,0,0,0,"7571","Others","SUNSHINE PLAZA","Middle Rd","Bencoolen","Central Region",4
103.8555,1.303206098,0,0,0,0,"7589","Others","Ch of Our Lady of Lourdes","Ophir Rd","Rochor Canal","Central Region",4
103.8436103,1.29706985,0,0,0,0,"8011","Others","Opp Haw Par Glass Twr","Clemenceau Ave","Dhoby Ghaut","Central Region",4
103.8440701,1.296246337,0,0,0,0,"8019","Others","Aft Haw Par Glass Twr","Clemenceau Ave","Fort Canning","Central Region",4
103.845257,1.298311538,0,0,0,0,"8031","Others","Dhoby Ghaut Stn Exit B","Penang Rd","Dhoby Ghaut","Central Region",4
103.8478064,1.298110142,0,0,0,0,"8041","Others","YMCA","Orchard Rd","Bras Basah","Central Region",4
103.8452902,1.299309973,0,0,0,0,"8057","Others","Dhoby Ghaut Stn","Orchard Rd","Dhoby Ghaut","Central Region",4
103.8465412,1.298958343,0,0,0,0,"8058","Others","Aft Dhoby Ghaut Stn","Orchard Rd","Dhoby Ghaut","Central Region",4
103.8493613,1.298213823,0,0,0,0,"8069","Others","BENCOOLEN STN EXIT B","Bras Basah Rd","Bras Basah","Central Region",4
103.8491033,1.299214444,0,0,0,0,"8079","Others","Sch of the Arts","Prinsep St","Dhoby Ghaut","Central Region",4
103.8409375,1.299869287,0,0,0,0,"8111","Others","Winsland Hse","Penang Rd","Somerset","Central Region",4
103.8387762,1.300275693,0,0,0,0,"8121","Others","Somerset Stn","Somerset Rd","Somerset","Central Region",4
103.841005,1.300739684,0,0,0,0,"8137","Others","Orchard Plaza","Orchard Rd","Somerset","Central Region",4
103.841847,1.300478573,0,0,0,0,"8138","Others","Concorde Hotel S'pore","Orchard Rd","Somerset","Central Region",4
103.8343167,1.302113351,0,0,0,0,"9011","Others","Opp Ngee Ann City","Orchard Turn","Boulevard","Central Region",4
103.8323978,1.302528348,0,0,0,0,"9022","Others","Bef Orchard Stn Exit B","Orchard Blvd","Paterson","Central Region",4
103.8325418,1.303237273,0,0,0,0,"9023","Others","Opp Orchard Stn/ION","Orchard Turn","Boulevard","Central Region",4
103.8370125,1.302340042,0,0,0,0,"9037","Others","Opp Mandarin Orchard","Orchard Rd","Somerset","Central Region",4
103.8385248,1.301542625,0,0,0,0,"9038","Others","Opp Somerset Stn","Orchard Rd","Somerset","Central Region",4
103.8329447,1.304460652,0,0,0,0,"9047","Others","Orchard Stn/Tang Plaza","Orchard Rd","Boulevard","Central Region",4
103.8341307,1.303866844,0,0,0,0,"9048","Others","Orchard Stn/Lucky Plaza","Orchard Rd","Boulevard","Central Region",4
103.836238,1.300442518,0,0,0,0,"9059","Others","Natl Youth Council","Grange Rd","Somerset","Central Region",4
103.8291453,1.304537526,0,0,0,0,"9111","Others","Opp Four Seasons Hotel","Orchard Blvd","One Tree Hill","Central Region",4
103.8269965,1.303973792,0,0,0,0,"9121","Others","Bef Tomlinson Rd","Orchard Blvd","One Tree Hill","Central Region",4
103.8233381,1.30392,0,0,0,0,"9131","Others","Grange Residences","Grange Rd","Chatsworth","Central Region",4
103.8235479,1.304199419,0,0,0,0,"9139","Others","Aft Cuscaden Rd","Grange Rd","Tanglin","Central Region",4
103.8217767,1.305435,0,0,0,0,"9141","Others","British Council","Napier Rd","Ridout","Central Region",4
103.8212215,1.306089814,0,0,0,0,"9149","Others","Opp British Council","Napier Rd","Nassim","Central Region",4
103.8256804,1.306026376,0,0,0,0,"9159","Others","Aft Tomlinson Rd","Tanglin Rd","Nassim","Central Region",4
103.8283551,1.307013533,0,0,0,0,"9169","Others","Delfi Orchard","Orchard Rd","Boulevard","Central Region",4
