Row Labels,,,
Ang Mo Kio,,,
Serangoon North,"'Serangoon North', ",,
Tai Seng,"'Tai Seng', ",,
Trafalgar,"'Trafalgar', ",,
Upper Paya Lebar,"'Upper Paya Lebar', ",,
Jurong East,"'Jurong East', ",,
International Business Park,"'International Business Park', ",,"'International Business Park', 'Jurong Gateway', 'Jurong Port', 'Jurong River', 'Lakeside', 'Liu Fang', 'Penjuru Crescent', 'Taman Jurong', 'Teban Gardens', 'Toh Guan', 'Yuhua East', 'Yuhua West', "
Jurong Gateway,"'Jurong Gateway', ",,
Jurong Port,"'Jurong Port', ",,
Jurong River,"'Jurong River', ",,
Lakeside,"'Lakeside', ",,
Liu Fang,"'Liu Fang', ",,
Penjuru Crescent,"'Penjuru Crescent', ",,
Taman Jurong,"'Taman Jurong', ",,
Teban Gardens,"'Teban Gardens', ",,
Toh Guan,"'Toh Guan', ",,
Yuhua East,"'Yuhua East', ",,
Yuhua West,"'Yuhua West', ",,
Jurong West,"'Jurong West', ",,
Boon Lay Place,"'Boon Lay Place', ",,"'Boon Lay Place', 'Chin Bee', 'Hong Kah', 'Jurong West Central', 'Kian Teck', 'Lakeside', 'Safti', 'Taman Jurong', 'Wenya', 'Yunnan', "
Chin Bee,"'Chin Bee', ",,
Hong Kah,"'Hong Kah', ",,
Jurong West Central,"'Jurong West Central', ",,
Kian Teck,"'Kian Teck', ",,
Lakeside,"'Lakeside', ",,
Safti,"'Safti', ",,
Taman Jurong,"'Taman Jurong', ",,
Wenya,"'Wenya', ",,
Yunnan,"'Yunnan', ",,
Kallang,"'Kallang', ",,
Aljunied,"'Aljunied', ",,"'Aljunied', 'Bendemeer', 'Boon Keng', 'Crawford', 'Farrer Park', 'Geylang Bahru', 'Kallang Bahru', 'Kampong Bugis', 'Kampong Java', 'Lavender', 'Tanjong Rhu', "
Bendemeer,"'Bendemeer', ",,
Boon Keng,"'Boon Keng', ",,
Crawford,"'Crawford', ",,
Farrer Park,"'Farrer Park', ",,
Geylang Bahru,"'Geylang Bahru', ",,
Kallang Bahru,"'Kallang Bahru', ",,
Kampong Bugis,"'Kampong Bugis', ",,
Kampong Java,"'Kampong Java', ",,
Lavender,"'Lavender', ",,
Tanjong Rhu,"'Tanjong Rhu', ",,
Lim Chu Kang,"'Lim Chu Kang', ",,
Lim Chu Kang,"'Lim Chu Kang', ",,"'Lim Chu Kang', "
Marine Parade,"'Marine Parade', ",,
East Coast,"'East Coast', ",,"'East Coast', 'Katong', 'Marina East (Mp)', 'Marine Parade', 'Mountbatten', "
Katong,"'Katong', ",,
Marina East (Mp),"'Marina East (Mp)', ",,
Marine Parade,"'Marine Parade', ",,
Mountbatten,"'Mountbatten', ",,
Novena,"'Novena', ",,
Balestier,"'Balestier', ",,"'Balestier', 'Dunearn', 'Hillcrest', 'Malcolm', 'Moulmein', 'Mount Pleasant', 'Toa Payoh Central', 'Toa Payoh West', "
Dunearn,"'Dunearn', ",,
Hillcrest,"'Hillcrest', ",,
Malcolm,"'Malcolm', ",,
Moulmein,"'Moulmein', ",,
Mount Pleasant,"'Mount Pleasant', ",,
Toa Payoh Central,"'Toa Payoh Central', ",,
Toa Payoh West,"'Toa Payoh West', ",,
Others,"'Others', ",,
