"BusStopCode","planning_area","Longitude","Latitude","subzone_name","district"
4179,"MUSEUM",103.8514716,1.296479163,"Bras Basah","CENTRAL REGION"
4211,"SINGAPORE RIVER",103.8471244,1.290436111,"Clarke Quay","CENTRAL REGION"
4219,"MUSEUM",103.8468678,1.290968028,"Fort Canning","CENTRAL REGION"
4222,"SINGAPORE RIVER",103.8470898,1.288989622,"Clarke Quay","CENTRAL REGION"
4223,"DOWNTOWN CORE",103.848579,1.290844761,"Fort Canning","CENTRAL REGION"
4229,"DOWNTOWN CORE",103.8487512,1.290448308,"City Hall","CENTRAL REGION"
4239,"SINGAPORE RIVER",103.8474938,1.288827179,"Boat Quay","CENTRAL REGION"
4249,"DOWNTOWN CORE",103.8502622,1.290430394,"City Hall","CENTRAL REGION"
4251,"DOWNTOWN CORE",103.8488847,1.289738333,"City Hall","CENTRAL REGION"
4311,"MUSEUM",103.8439214,1.294645753,"Fort Canning","CENTRAL REGION"
4321,"SINGAPORE RIVER",103.8430365,1.292140008,"Robertson Quay","CENTRAL REGION"
4329,"SINGAPORE RIVER",103.8432838,1.291970571,"Clarke Quay","CENTRAL REGION"
4331,"SINGAPORE RIVER",103.8450409,1.291839394,"Clarke Quay","CENTRAL REGION"
4339,"MUSEUM",103.845005,1.292211,"Fort Canning","CENTRAL REGION"
5009,"SINGAPORE RIVER",103.8492364,1.285925541,"Boat Quay","CENTRAL REGION"
5012,"OUTRAM",103.8408772,1.281545833,"People's Park","CENTRAL REGION"
5013,"OUTRAM",103.8429987,1.284069799,"People's Park","CENTRAL REGION"
5019,"OUTRAM",103.84105,1.281183889,"Chinatown","CENTRAL REGION"
5022,"OUTRAM",103.844372,1.285710899,"Pearl's Hill","CENTRAL REGION"
5023,"SINGAPORE RIVER",103.8454038,1.286929284,"Clarke Quay","CENTRAL REGION"
5029,"SINGAPORE RIVER",103.8481978,1.287122834,"Boat Quay","CENTRAL REGION"
5039,"OUTRAM",103.8425428,1.282938191,"Chinatown","CENTRAL REGION"
5049,"OUTRAM",103.8445507,1.285311148,"China Square","CENTRAL REGION"
5059,"SINGAPORE RIVER",103.8457504,1.286764201,"Boat Quay","CENTRAL REGION"
5069,"OUTRAM",103.8402979,1.2802763,"Chinatown","CENTRAL REGION"
5129,"OUTRAM",103.8463467,1.286011667,"Boat Quay","CENTRAL REGION"
5131,"OUTRAM",103.8453381,1.284073056,"Chinatown","CENTRAL REGION"
5189,"OUTRAM",103.8452806,1.282091396,"Chinatown","CENTRAL REGION"
5199,"OUTRAM",103.8466605,1.284514558,"China Square","CENTRAL REGION"
5239,"OUTRAM",103.8415105,1.27854113,"Chinatown","CENTRAL REGION"
5241,"OUTRAM",103.8422749,1.280719882,"Chinatown","CENTRAL REGION"
5259,"OUTRAM",103.8426271,1.279794478,"Chinatown","CENTRAL REGION"
5269,"DOWNTOWN CORE",103.8446005,1.280977473,"Maxwell","CENTRAL REGION"
5271,"OUTRAM",103.8438221,1.279753295,"Chinatown","CENTRAL REGION"
5319,"DOWNTOWN CORE",103.849114,1.284437,"Phillip","CENTRAL REGION"
5411,"OUTRAM",103.8430919,1.275191657,"Chinatown","CENTRAL REGION"
5419,"OUTRAM",103.8431868,1.274706695,"Anson","CENTRAL REGION"
5421,"OUTRAM",103.8434635,1.277774706,"Chinatown","CENTRAL REGION"
5429,"OUTRAM",103.8437065,1.277694131,"Chinatown","CENTRAL REGION"
5431,"DOWNTOWN CORE",103.8420461,1.27408,"Anson","CENTRAL REGION"
5519,"OUTRAM",103.8411269,1.275534722,"Chinatown","CENTRAL REGION"
5521,"OUTRAM",103.8405922,1.276768611,"Everton Park","CENTRAL REGION"
5629,"DOWNTOWN CORE",103.84187,1.273211389,"Anson","CENTRAL REGION"
5631,"BUKIT MERAH",103.8403472,1.273460559,"Everton Park","CENTRAL REGION"
5641,"BUKIT MERAH",103.8414062,1.272723931,"Everton Park","CENTRAL REGION"
5649,"BUKIT MERAH",103.8409391,1.272384212,"City Terminals","CENTRAL REGION"
5651,"DOWNTOWN CORE",103.8430731,1.273218611,"Anson","CENTRAL REGION"
6011,"BUKIT MERAH",103.8380139,1.28166,"Singapore General Hospital","CENTRAL REGION"
6029,"BUKIT MERAH",103.8383828,1.281770412,"People's Park","CENTRAL REGION"
6031,"OUTRAM",103.8387917,1.286070556,"Pearl's Hill","CENTRAL REGION"
6039,"OUTRAM",103.8396256,1.287059979,"Pearl's Hill","CENTRAL REGION"
6049,"BUKIT MERAH",103.8351771,1.284748569,"Pearl's Hill","CENTRAL REGION"
6051,"BUKIT MERAH",103.8340567,1.28475981,"Tiong Bahru","CENTRAL REGION"
6069,"OUTRAM",103.8349616,1.286231577,"Pearl's Hill","CENTRAL REGION"
6071,"BUKIT MERAH",103.8336003,1.286858595,"Tiong Bahru","CENTRAL REGION"
6081,"BUKIT MERAH",103.8334988,1.288370864,"Bukit Ho Swee","CENTRAL REGION"
6129,"BUKIT MERAH",103.8344092,1.290781621,"Robertson Quay","CENTRAL REGION"
6131,"BUKIT MERAH",103.8322275,1.291524722,"Bukit Ho Swee","CENTRAL REGION"
6141,"BUKIT MERAH",103.8338124,1.289633009,"Bukit Ho Swee","CENTRAL REGION"
6149,"BUKIT MERAH",103.8341153,1.289840457,"Bukit Ho Swee","CENTRAL REGION"
6151,"SINGAPORE RIVER",103.8373728,1.288709768,"Robertson Quay","CENTRAL REGION"
6159,"SINGAPORE RIVER",103.8368794,1.289093854,"Robertson Quay","CENTRAL REGION"
6161,"OUTRAM",103.8399429,1.289017057,"Pearl's Hill","CENTRAL REGION"
