,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area,X,Y
22,22,1341,Southbank,1.3064755559999999,103.8645253,Crawford St,KALLANG,31473.019402604088,32088.96870312677
23,23,1349,Opp Blk 4,1.3056863570000001,103.86543990000001,Crawford St,KALLANG,31574.80704885337,32001.70440813289
24,24,1411,Opp St. John HQ,1.302113329,103.86295600000001,Beach Rd,KALLANG,31298.37648715372,31606.61392393768
25,25,1419,St. John HQ,1.3020200000000002,103.86326329999999,Beach Rd,KALLANG,31332.576319334148,31596.294486311956
26,26,1421,Opp Golden Mile Cplx,1.303384444,103.86483890000001,Beach Rd,KALLANG,31507.924465899567,31747.169835633696
27,27,1429,Golden Mile Cplx,1.3032136090000002,103.8650158,Beach Rd,KALLANG,31527.612063436132,31728.280025123895
28,28,1511,Opp The Gateway,1.299198261,103.8586452,Beach Rd,DOWNTOWN CORE,30818.626691250152,31284.275465198454
29,29,1519,The Gateway,1.299074925,103.8589103,Beach Rd,DOWNTOWN CORE,30848.130093543878,31270.637901622635
30,30,1521,Opp Plaza Parkroyal,1.300883044,103.860661,Beach Rd,ROCHOR,31042.965228004367,31470.572446174523
31,31,1529,Plaza Parkroyal,1.300416677,103.8604412,Beach Rd,ROCHOR,31018.50401915671,31419.00371646472
32,32,1541,Bugis Stn Exit D,1.298864654,103.8573458,Rochor Rd,DOWNTOWN CORE,30674.01541836434,31247.385507804072
33,33,1549,Opp Duo Residences,1.300698689,103.85873120000001,Ophir Rd,ROCHOR,30828.196055338725,31450.18517458842
34,34,1559,Landmark Village Hotel,1.301687311,103.8575292,Ophir Rd,ROCHOR,30694.423213235234,31559.500597966347
35,35,1611,Aft Raffles Hotel,1.2952725920000001,103.85533690000001,Beach Rd,DOWNTOWN CORE,30450.44620319461,30850.191745263583
36,36,1619,Esplanade Stn Exit F,1.294286942,103.85503809999999,Beach Rd,DOWNTOWN CORE,30417.193312207524,30741.203356921804
37,37,1621,Opp Shaw Twrs,1.2969588890000001,103.85655609999999,Beach Rd,DOWNTOWN CORE,30586.130779927036,31036.654998781785
38,38,1629,Shaw Twrs,1.296959722,103.8568653,Beach Rd,DOWNTOWN CORE,30620.54200952861,31036.74742542479
39,39,1631,Aft Beach Rd,1.296936146,103.8558056,Middle Rd,DOWNTOWN CORE,30502.60677779439,31034.139441029092
40,40,1639,Bef Beach Rd,1.2973875,103.8555758,Middle Rd,DOWNTOWN CORE,30477.031627767334,31084.047617454446
41,41,2029,Opp S'pore Cricket Club,1.288790151,103.85293320000001,Connaught Dr,DOWNTOWN CORE,30182.940969072217,30133.394629002592
42,42,2049,Raffles Hotel,1.294520912,103.8540216,Bras Basah Rd,DOWNTOWN CORE,30304.065507763527,30767.073609174135
43,43,2051,The Float @ Marina Bay,1.289503056,103.8590339,Raffles Ave,DOWNTOWN CORE,30861.896394937983,30212.230028649275
44,44,2061,The Esplanade,1.289963889,103.8564039,Raffles Ave,DOWNTOWN CORE,30569.199293837846,30263.183763843088
45,45,2089,Pan Pacific Hotel,1.2915269440000001,103.8592061,Raffles Blvd,DOWNTOWN CORE,30881.058515095276,30436.021335502915
46,46,2099,Marina Ctr Ter,1.291472648,103.8614856,Raffles Blvd,DOWNTOWN CORE,31134.747355593434,30430.02025906821
47,47,2101,AFT S'PORE FLYER,1.289384838,103.8618315,Raffles Ave,DOWNTOWN CORE,31173.245642227917,30199.161404773506
48,48,2111,Esplanade Bridge,1.290955923,103.8545342,Esplanade Dr,DOWNTOWN CORE,30361.116707016565,30372.875961436308
49,49,2119,Opp War Memorial Pk,1.2918440740000001,103.8553433,Nicoll Highway,DOWNTOWN CORE,30451.161754813802,30471.083888255096
50,50,2141,Suntec Twr Two,1.295765716,103.85933809999999,Temasek Blvd,DOWNTOWN CORE,30895.74417870016,30904.723077117313
51,51,2149,Suntec Twr Three,1.295604598,103.8595553,Temasek Blvd,DOWNTOWN CORE,30919.916817495483,30886.90772672956
52,52,2151,Suntec Convention Ctr,1.2931777629999999,103.85784620000001,Temasek Blvd,DOWNTOWN CORE,30729.711564554127,30618.558900221462
53,53,2159,Opp Suntec Convention Ctr,1.293608112,103.8584067,Temasek Blvd,DOWNTOWN CORE,30792.089889645482,30666.145286463445
54,54,2161,Promenade Stn,1.292685535,103.8609316,Temasek Ave,DOWNTOWN CORE,31073.090454823876,30564.134385079058
55,55,2169,Promenade Stn Exit B,1.293338368,103.8607085,Temasek Ave,DOWNTOWN CORE,31048.26057364415,30636.321029957737
56,56,2171,Opp The Ritz-Carlton,1.2907,103.86092190000001,Temasek Ave,DOWNTOWN CORE,31072.013311699422,30344.584132708515
57,57,2181,Supreme Ct,1.289474444,103.8509817,Parliament Pl,DOWNTOWN CORE,29965.755034569436,30209.05863226829
58,58,3011,Fullerton Sq,1.285618409,103.85342220000001,Fullerton Rd,DOWNTOWN CORE,30237.365287295193,29782.680179339844
59,59,3019,OUE Bayfront,1.284245,103.85310809999999,Collyer Quay,DOWNTOWN CORE,30202.40975131888,29630.815424990702
60,60,3021,Prudential Twr,1.282555246,103.84998900000001,Cecil St,DOWNTOWN CORE,29855.280960122673,29443.968677581535
61,61,3031,Raffles Pl Stn Exit F,1.282074922,103.85086070000001,Robinson Rd,DOWNTOWN CORE,29952.294380195865,29390.8575772757
62,62,3041,Telok Ayer Stn Exit A,1.281795094,103.8489321,Cross St,OUTRAM,29737.657176100176,29359.914253873034
63,63,3059,One Raffles Quay,1.281111,103.851461,Raffles Quay,DOWNTOWN CORE,30019.10361084268,29284.272524516062
64,64,3071,OPP SO SOFITEL S'PORE,1.279906096,103.8494003,Robinson Rd,DOWNTOWN CORE,29789.76531819759,29151.038933818083
65,65,3111,Aft Capital Twr,1.277825954,103.8481012,Robinson Rd,DOWNTOWN CORE,29645.187324991395,28921.026711397182
66,66,3129,UIC Bldg,1.278070035,103.8495672,Shenton Way,DOWNTOWN CORE,29808.341221494422,28948.016911445025
67,67,3151,Opp GB Bldg,1.278921246,103.8477623,Cecil St,DOWNTOWN CORE,29607.469787039714,29042.138225989096
