,0
895,96019
896,85109
897,85099
898,84101
899,84071
900,84081
901,84141
902,84111
903,84151
904,91079
905,91069
906,91059
907,91049
908,91091
909,80271
910,01129
911,01059
912,01119
913,01019
914,04159
915,04149
916,04229
917,04239
918,05059
919,05049
920,05039
921,05019
922,10011
923,10041
924,10499
925,10049
926,10017
927,05013
928,05023
929,04222
930,04142
931,01012
932,01112
933,01121
934,80279
935,91099
936,91041
937,91051
938,91061
939,91071
940,84159
941,84119
942,84149
943,84089
944,84079
945,84109
946,85091
947,85101
948,96011
949,96021
950,96031
951,95901
952,96201
953,96191
954,96181
955,96121
956,76101
957,76031
958,76231
959,76241
960,98011
961,98091
962,78079
963,78089
964,78101
965,10051
966,10061
967,10071
968,10371
969,10171
970,10181
971,10191
972,10201
973,11539
974,11529
975,14041
976,14349
977,14339
978,14329
979,14491
980,14501
981,14391
982,14331
983,14341
984,14049
985,11521
986,11531
987,10209
988,10199
989,10189
990,10179
991,10379
992,10079
993,10069
994,10059
995,06011
996,06051
997,06071
998,06081
999,10221
1000,10231
1001,10389
1002,10169
1003,10121
1004,10501
1005,10369
1006,14039
1007,14291
1008,14269
1009,14259
1010,14279
1011,14319
1012,14489
1013,14309
1014,14379
1015,14031
1016,10361
1017,10129
1018,10151
1019,10161
1020,10381
1021,10239
1022,10229
1023,06069
1024,06049
1025,06029
1026,10141
1027,10241
1028,10261
1029,10271
1030,10479
1031,10469
1032,11499
1033,11489
1034,11479
1035,11469
1036,11439
1037,11429
1038,11471
1039,11481
1040,11491
1041,10461
1042,10471
1043,10279
1044,10269
1045,10249
1046,10149
1047,10009
1048,10659
1049,10101
1050,10111
1051,10131
1052,08137
1053,08019
1054,04329
1055,06161
1056,06151
1057,14389
1058,14381
1059,14029
1060,14019
1061,14519
1062,14521
1063,14539
1064,14529
1065,14011
1066,14021
1067,06149
1068,06159
1069,06169
1070,04321
1071,04311
1072,08011
1073,11019
1074,10139
1075,10119
1076,10651
1077,14009
1078,52499
1079,52451
1080,52129
1081,52109
1082,52099
1083,50159
1084,50211
1085,50221
1086,50129
1087,50119
1088,50069
1089,40129
1090,40189
1091,40179
1092,09047
1093,09037
1094,04167
1095,04249
1096,05029
1097,05131
1098,05069
1099,10399
1100,14221
1101,14231
1102,14271
1103,14281
1104,14059
1105,14399
1106,14509
1107,14499
1108,14359
1109,14351
1110,14051
1111,14299
1112,14239
1113,14229
1114,10391
1115,10018
1116,05012
1117,05022
1118,04223
1119,04143
1120,09011
1121,09023
1122,09212
1123,40171
1124,40181
1125,40121
1126,50061
1127,50111
1128,50121
1129,50229
1130,50991
1131,50231
1132,50241
1133,60101
1134,60121
1135,60141
1136,60211
1137,70361
1138,70341
1139,70321
1140,70311
1141,80239
1142,80229
1143,80269
1144,70319
1145,70329
1146,70349
1147,70359
1148,60219
1149,60139
1150,60119
1151,60099
1152,07329
1153,07231
1154,07211
1155,07221
1156,50249
1157,50239
1158,76529
1159,76519
1160,75271
1161,75281
1162,75381
1163,75391
1164,74011
1165,74021
1166,74031
1167,74041
1168,75289
1169,75279
1170,76511
1171,76521
1172,55009
1173,55189
1174,54399
1175,54339
1176,54329
1177,54319
1178,53231
1179,53239
1180,54311
1181,54321
1182,54331
1183,54391
1184,55181
1185,75019
1186,76559
1187,76191
1188,76149
1189,76139
1190,76111
1191,76121
1192,76281
1193,75259
1194,62071
1195,62081
1196,62091
1197,66069
1198,52449
1199,52179
1200,52209
1201,52199
1202,50161
1203,50171
1204,52401
1205,52411
1206,52049
1207,52119
1208,52419
1209,52409
1210,52479
1211,50169
1212,51011
1213,52191
1214,52201
1215,52171
1216,52441
1217,66061
1218,62099
1219,62089
1220,62079
1221,75251
1222,76289
1223,76129
1224,76119
1225,76131
1226,76141
1227,76199
1228,76551
1229,93131
1230,01541
1231,01559
1232,01549
1233,93139
1234,55509
1235,55209
1236,54059
1237,54049
1238,54039
1239,54019
1240,53169
1241,53379
1242,53389
1243,53399
1244,53211
1245,52021
1246,52031
1247,66071
1248,07359
1249,81011
1250,81031
1251,81051
1252,82011
1253,82032
1254,82061
1255,83299
1256,83319
1257,83309
1258,92279
1259,92061
1260,92239
1261,92071
1262,92081
1263,93011
1264,93021
1265,93121
1266,94009
1267,93129
1268,93029
1269,93019
1270,92089
1271,92211
1272,92221
1273,92231
1274,92271
1275,83301
1276,83311
1277,83291
1278,82069
1279,82049
1280,82029
1281,82109
1282,81069
1283,81049
1284,81029
1285,07361
1286,07351
1287,66089
1288,66079
1289,52039
1290,53219
1291,53391
1292,53381
1293,53371
1294,53161
1295,54011
1296,54031
1297,54041
1298,54051
1299,55201
1300,54009
1301,54248
1302,53321
1303,53209
1304,53199
1305,53189
1306,53179
1307,53039
1308,53029
1309,53019
1310,51069
1311,51059
1312,51049
1313,51039
1314,51029
1315,51019
1316,50191
1317,50201
1318,60199
1319,07319
1320,07419
1321,07529
1322,07589
1323,04151
1324,01013
1325,01113
1326,07331
1327,50209
1328,50199
1329,50189
1330,50179
1331,51021
1332,51031
1333,51041
1334,51051
1335,51071
1336,53011
1337,53021
1338,53171
1339,53181
1340,53191
1341,53201
1342,53329
1343,54241
1344,50059
1345,50049
1346,50038
1347,50029
1348,50079
1349,50089
1350,50321
1351,50351
1352,40109
1353,40019
1354,07539
1355,07518
1356,04019
1357,10081
1358,10089
1359,03223
1360,03151
1361,03021
1362,08079
1363,07011
1364,07021
1365,07031
1366,07111
1367,50251
1368,50261
1369,50301
1370,50081
1371,50071
1372,50021
1373,50031
1374,50041
1375,63319
1376,66339
1377,66349
1378,54309
1379,54299
1380,54289
1381,54279
1382,54269
1383,54239
1384,54229
1385,54219
1386,54069
1387,56269
1388,53099
1389,53089
1390,53079
1391,53069
1392,53059
1393,53049
1394,51109
1395,10359
1396,10349
1397,10341
1398,10351
1399,53041
1400,53051
1401,53061
1402,53071
1403,53081
1404,53091
1405,56261
1406,54061
1407,54211
1408,54221
1409,54231
1410,54261
1411,54271
1412,54281
1413,54291
1414,54301
1415,66341
1416,66331
1417,63311
1418,54071
1419,54081
1420,54091
1421,54101
1422,66091
1423,66031
1424,66381
1425,66039
1426,66099
1427,54109
1428,54099
1429,54089
1430,54079
1431,80289
1432,80249
1433,80231
1434,81201
1435,81211
1436,81221
1437,81111
1438,82119
1439,82099
1440,82089
1441,92249
1442,92041
1443,92051
1444,92229
1445,92219
1446,92079
1447,92069
1448,92059
1449,92049
1450,92241
1451,82081
1452,82091
1453,81129
1454,81119
1455,81229
1456,81219
1457,81209
1458,70151
1459,70161
1460,70171
1461,70181
1462,70191
1463,70371
1464,70259
1465,81101
1466,93199
1467,93201
1468,81109
1469,70251
1470,70379
1471,70201
1472,70211
1473,70221
1474,70231
1475,70241
1476,66111
1477,66121
1478,66271
1479,66131
1480,66141
1481,63169
1482,63159
1483,65061
1484,65071
1485,65151
1486,65241
1487,65289
1488,65229
1489,65221
1490,65281
1491,65249
1492,65159
1493,65079
1494,65069
1495,65059
1496,63151
1497,63161
1498,66149
1499,66139
1500,66129
1501,66119
1502,71161
1503,71229
1504,71219
1505,71209
1506,71119
1507,71109
1508,71129
1509,70409
1510,70071
1511,71331
1512,71291
1513,72131
1514,72141
1515,72151
1516,72161
1517,84459
1518,84539
1519,84361
1520,84371
1521,84401
1522,84411
1523,84421
1524,84331
1525,84359
1526,84199
1527,84049
1528,84039
1529,84139
1530,84129
1531,84121
1532,84131
1533,84031
1534,84041
1535,84191
1536,84351
1537,84339
1538,84429
1539,84419
1540,84409
1541,84379
1542,84369
1543,84451
1544,72169
1545,72159
1546,72149
1547,72139
1548,71299
1549,71339
1550,70079
1551,70401
1552,71121
1553,71101
1554,71111
1555,71201
1556,71211
1557,71221
1558,71169
1559,81231
1560,54247
1561,54469
1562,54459
1563,55111
1564,55121
1565,56209
1566,56199
1567,56041
1568,56051
1569,56061
1570,56071
1571,56081
1572,56091
1573,57011
1574,57149
1575,48109
1576,48099
1577,48089
1578,48079
1579,48069
1580,48059
1581,48049
1582,48039
1583,48029
1584,48111
1585,48131
1586,48119
1587,48021
1588,48031
1589,48041
1590,48051
1591,48061
1592,48071
1593,48081
1594,48091
1595,48101
1596,57141
1597,57019
1598,56099
1599,56089
1600,56079
1601,56069
1602,56059
1603,56049
1604,56191
1605,56201
1606,55129
1607,55119
1608,54451
1609,54461
1610,52009
1611,50331
1612,50349
1613,07517
1614,04029
1615,13109
1616,13099
1617,13089
1618,13079
1619,13069
1620,13059
1621,10519
1622,10219
1623,10421
1624,10431
1625,10441
1626,10449
1627,10439
1628,10429
1629,10211
1630,13051
1631,13062
1632,13071
1633,13081
1634,13091
1635,13101
1636,08058
1637,84009
1638,84211
1639,84221
1640,84231
1641,84241
1642,84281
1643,84061
1644,13199
1645,13159
1646,10091
1647,18041
1648,18131
1649,18101
1650,18121
1651,18141
1652,11361
1653,17009
1654,17239
1655,11369
1656,18149
1657,18129
1658,18109
1659,18049
1660,10109
1661,10099
1662,13063
1663,13141
1664,13191
